route_id,sample_count,mean_speed_mps,median_speed_mps,max_speed_mps,mean_speed_kmh,median_speed_kmh,max_speed_kmh
10232,54,0.0,0.0,0.0,0.0,0.0,0.0
11201,633,0.0,0.0,0.0,0.0,0.0,0.0
11202,94,0.0,0.0,0.0,0.0,0.0,0.0
11692,985,0.0,0.0,0.0,0.0,0.0,0.0
11696,345,0.0,0.0,0.0,0.0,0.0,0.0
12940,484,0.0,0.0,0.0,0.0,0.0,0.0
16717,594,0.0,0.0,0.0,0.0,0.0,0.0
16718,1765,0.0,0.0,0.0,0.0,0.0,0.0
16719,338,0.0,0.0,0.0,0.0,0.0,0.0
17707,356,0.0,0.0,0.0,0.0,0.0,0.0
18705,743,0.0,0.0,0.0,0.0,0.0,0.0
20667,246,0.0,0.0,0.0,0.0,0.0,0.0
22638,615,0.0,0.0,0.0,0.0,0.0,0.0
22639,361,0.0,0.0,0.0,0.0,0.0,0.0
23384,1616,0.0,0.0,0.0,0.0,0.0,0.0
29038,836,0.0,0.0,0.0,0.0,0.0,0.0
30036,243,0.0,0.0,0.0,0.0,0.0,0.0
30037,206,0.0,0.0,0.0,0.0,0.0,0.0
30038,387,0.0,0.0,0.0,0.0,0.0,0.0
30039,403,0.0,0.0,0.0,0.0,0.0,0.0
30040,439,0.0,0.0,0.0,0.0,0.0,0.0
30042,188,0.0,0.0,0.0,0.0,0.0,0.0
30043,548,0.0,0.0,0.0,0.0,0.0,0.0
30044,291,0.0,0.0,0.0,0.0,0.0,0.0
30045,255,0.0,0.0,0.0,0.0,0.0,0.0
30046,656,0.0,0.0,0.0,0.0,0.0,0.0
30047,114,0.0,0.0,0.0,0.0,0.0,0.0
30048,96,0.0,0.0,0.0,0.0,0.0,0.0
30049,232,0.0,0.0,0.0,0.0,0.0,0.0
30050,140,0.0,0.0,0.0,0.0,0.0,0.0
30051,71,0.0,0.0,0.0,0.0,0.0,0.0
30055,920,0.0,0.0,0.0,0.0,0.0,0.0
30584,334,0.0,0.0,0.0,0.0,0.0,0.0
31816,93,0.0,0.0,0.0,0.0,0.0,0.0
