route_id,stop_id
30047,9179
30047,9312
30047,11969
30047,9314
30047,10171
30047,9316
30047,9317
30047,9318
30047,12270
30047,12271
30047,12272
30047,12273
30047,3206
30047,3207
30047,3214
30047,3215
30047,3216
30047,10860
30047,12332
30047,3181
30047,3182
30047,11198
30047,3184
30047,12240
30047,12266
30047,12267
30047,10705
30047,3935
30047,3936
30047,3937
30047,3938
30047,3939
30047,3940
30047,11967
30047,3942
30047,3943
30047,3944
38311,4461
38311,4463
38311,12685
38311,4456
38311,11929
38311,4459
38311,4212
38311,3994
38311,11598
38311,12902
6668,3927
6668,3486
6668,3487
6668,12591
6668,12593
6668,3490
6668,8602
6668,3492
6668,3493
6668,3756
6668,3708
6668,3608
6668,3609
6668,8573
30048,3394
30048,12275
30048,12276
30048,3954
30048,3955
30048,3956
30048,3957
30048,3949
30048,3958
30048,3959
30048,3960
30048,3961
30048,3962
30048,3963
30048,9179
6622,1018
6622,1019
6622,1020
6622,1021
6622,1022
6622,1023
6622,1024
6622,1025
6622,1026
6622,1027
6622,1028
6622,1029
6622,13138
6622,1032
6622,1033
6622,1035
6622,1036
6622,1037
6622,1038
6622,1039
6622,1041
6622,1042
6622,12703
6622,12704
6622,12706
6622,11403
6622,218
6622,4879
6622,1013
6622,9366
6622,12535
6622,11535
6622,938
6622,939
6622,12489
6622,2936
6622,942
6622,12860
6622,944
6622,945
6622,946
6622,947
6622,948
6622,949
6622,950
6622,951
6622,952
6622,954
6622,955
6622,956
6622,957
6622,958
6622,1046
6622,1047
6622,1048
6622,1049
6622,1050
6622,1051
6622,1052
6622,1053
6622,1054
6622,8907
6622,1057
6622,1058
6622,1059
6622,1060
6622,1061
6622,1062
6622,1063
6622,1064
6622,1065
53125,9359
53125,13136
53125,1065
6680,10867
6680,4424
6680,4425
6680,4426
6680,11727
6680,4427
6680,4429
6680,4430
6680,11367
6680,4432
6680,4433
6680,4434
6680,4435
6680,4436
6680,4437
6680,4438
6680,4440
6680,4441
6680,4599
6680,4352
6680,4414
6680,4415
6680,4416
6680,4417
6680,4418
6680,4419
6680,4420
6680,12122
6680,4422
6680,4423
6680,4337
6680,4338
6680,4339
6680,4340
6680,4341
6680,4347
6680,4348
6680,4349
6680,4350
6680,4446
6680,4447
6680,4448
6680,4439
6680,4449
6680,4450
6680,4451
6680,4452
6680,4453
6680,11708
6680,4456
6680,9944
6680,11929
6680,11726
6680,12025
6680,4458
6680,10866
6619,318
6619,320
6619,10651
6619,10652
6619,10655
6619,322
6619,323
6619,10980
6619,325
6619,326
6619,328
6619,329
6619,331
6619,332
6619,12789
6619,880
6619,12764
6619,12101
6619,2120
6619,779
6619,780
6619,781
6619,10620
6619,890
6619,891
6619,892
6619,893
6619,11588
6619,895
6619,896
6619,898
6619,899
6619,900
6619,901
6619,902
6619,904
6619,905
6619,906
6619,907
6619,908
6692,4461
6692,4463
6692,4464
6692,4465
6692,4466
6692,4467
6692,4468
6692,4456
6692,9944
6692,11929
6692,4442
6692,4443
6692,12686
6692,4187
6692,4189
6692,4190
6692,4191
6692,4507
6692,4508
6692,4509
6692,4510
6692,4061
6692,4062
6692,4063
6692,11263
6692,4371
6692,4372
6692,4373
6692,4374
6692,4375
6692,4052
6692,4472
6692,1766
6692,11200
6692,11199
6692,1769
6692,8613
6692,1770
6692,4004
6692,4384
6692,4385
6692,4386
6692,4387
6692,4388
6692,12349
6692,10827
6692,4220
6692,4221
6692,12697
6692,4830
6692,4511
6692,4512
6692,4513
6692,4301
6692,4200
6692,4201
6692,4203
6692,12687
6692,4326
6692,4327
6692,4328
6692,11727
6692,4427
6692,4429
6692,4430
6692,11367
6692,4478
6692,11678
6692,4485
6692,11723
6692,4487
6692,4488
6692,12683
6692,4659
6692,4491
6692,4661
6692,4662
6692,4663
6692,4832
6692,4664
6692,4665
6692,4666
6692,4667
6692,4668
6692,4669
6692,4670
6692,4672
6692,4673
6692,4644
37809,3204
37809,3054
37809,3825
37809,7646
37809,12635
37809,12636
37809,12637
37809,10885
6626,1329
6626,1337
6626,1338
6626,1339
6626,1340
6626,1341
6626,1342
6626,1343
6626,1344
6626,1345
6626,1346
6626,1347
6626,1348
6626,1349
6626,1350
6626,1351
6626,1352
6626,1353
6626,1354
6626,1355
6626,1356
6626,1357
6626,1358
6626,1360
6626,1361
6626,1362
6626,1363
6626,1368
6626,1369
6626,1370
6626,1371
6626,1372
6626,1373
6626,1374
6626,1375
6626,1377
6626,1378
6626,11529
6626,91
6626,93
6626,11638
6626,95
6626,13126
6626,12375
6626,1857
6796,1443
6796,11911
6796,11909
6796,3540
6796,2505
6796,9183
6796,3541
6796,2344
6796,2345
6796,2346
6796,3659
6796,3660
6796,2513
6796,2514
6796,2515
6796,2516
6796,9440
6796,13097
6796,9199
6796,12087
6796,9197
6796,2354
6796,2355
6796,11714
30051,3918
30051,3919
30051,10615
30051,10616
30051,3922
30051,3923
30051,12300
30051,12301
30051,3803
30051,3804
30051,9550
30051,3066
30051,3904
6626,696
6673,4094
6673,10130
6673,4096
6673,9037
6673,4097
6673,4098
6673,4099
6673,4100
6673,4101
6673,4102
6673,4103
6673,4104
6673,4105
6673,4106
6673,4107
6673,4108
6673,4109
6673,4110
6673,4111
6673,4112
6673,4113
6673,4114
6673,4115
6673,4116
6673,4118
6673,1771
6673,1772
6673,1773
6673,12951
6673,453
6673,497
6673,512
6673,518
6673,10976
6673,696
6673,91
6673,93
6673,11638
6673,95
6673,96
6673,11553
6673,409
6637,11260
6637,8297
6637,2075
6637,2076
6637,2077
6637,2078
6637,2079
6637,405
6637,407
6637,11426
6637,11429
6637,11532
6637,11523
6637,11525
6637,11616
6637,11527
6637,35
6637,36
6637,414
6637,11636
6637,8289
6673,12956
6673,410
6673,76
6673,77
6673,78
6673,36
6673,12720
6673,429
6673,431
6673,437
6673,442
6673,450
6673,1763
6673,4003
6673,4070
6673,4071
6673,4072
6673,4073
6673,4076
6673,4077
6673,4078
6673,4079
6673,4080
6673,4081
6673,4082
6673,4083
6673,4084
6673,4085
6673,4086
6673,4087
6673,4088
6673,4089
6673,4090
6673,4091
6673,4092
6673,4093
6637,1013
6637,9366
6637,12535
6637,11535
37810,1801
37810,1187
37810,1190
37810,1076
37810,709
37810,713
37810,718
37810,11632
37810,11354
37810,195
37810,287
37810,12632
37810,297
37810,1907
37810,10960
37810,12653
37810,12600
37810,12361
37810,12652
37810,1896
37810,12625
37810,381
37810,13151
37810,199
37810,811
37810,12586
37810,255
37810,12134
37810,655
37810,1130
37810,1133
37810,1137
37810,1648
37810,1736
30055,12602
30055,181
30055,182
30055,184
30055,11529
30055,696
30055,91
30055,93
30055,12581
30055,11119
30055,12329
30055,11337
6705,6197
6705,6198
6705,6199
6705,6200
6705,6201
6705,6354
6705,6355
6705,6356
6705,6174
6705,5437
6705,5438
6705,5439
6705,5440
6705,5441
6705,5442
6705,5444
6705,9083
6705,5446
6705,10445
6705,5447
6705,5448
6705,10437
6705,5449
6705,11313
6705,10808
6705,5452
6705,11913
6705,5454
6705,5455
6705,5456
6705,12651
6705,5458
6705,5459
6705,5460
6705,5461
6705,5462
6705,5463
6705,5700
6705,5465
6705,5466
6705,5467
6705,5468
6705,5469
6705,5470
6705,5471
6705,5472
6705,5473
6705,5474
6705,5475
6705,5476
6705,5477
6705,11725
6705,5040
6705,5041
6705,12155
6705,9089
6705,7213
6705,10880
6705,5428
6705,5429
6705,5430
6705,5431
6705,5432
6705,11825
6705,5434
6705,5435
6626,76
6626,77
6626,78
6626,80
6626,9063
6626,21
6626,1283
6626,1284
6626,1285
6626,1290
6626,1291
6626,1292
6626,1293
6626,1294
6626,1295
6626,1296
6626,1297
6626,1298
6626,1299
6626,1300
6626,1301
6626,1302
6626,1304
6626,10807
6626,1307
6626,1308
6626,1309
6626,1310
6626,1311
6626,1312
6626,1314
6626,1315
6626,1316
6626,1317
6626,1318
6626,1319
6626,1320
6626,1321
6626,1322
6626,1324
6626,1325
6626,1326
6626,1327
6626,1328
30043,11941
30043,3218
30043,3303
30043,3219
30043,3220
30043,3221
30043,3222
30043,3223
30043,3224
30043,3225
30043,3226
30043,3227
30043,3228
30043,3229
30043,3230
30043,3231
30043,3232
30043,3233
30043,3234
30043,3235
30043,3236
30043,3237
30043,3238
30043,13075
30043,3240
30043,3241
30043,3242
30043,3244
30043,3245
30043,11307
30043,3248
30043,8691
7322,8396
7322,1391
7322,11614
7322,1393
7322,1858
7322,9061
7322,2976
7322,2977
7322,2978
7322,2979
7322,2980
7322,2981
7322,2982
7322,2983
7322,2984
7322,2985
37808,12624
37808,5183
37808,5420
37808,5422
37808,5424
37808,5426
37808,6467
37808,12916
37808,5039
37808,5498
37808,5503
37808,5505
37808,5509
33292,8697
33292,8701
33292,2782
33292,13068
33292,2784
33292,2785
33292,2786
33292,2787
33292,1409
33292,9125
33292,2741
33292,1411
33292,1412
33292,1413
33292,1414
33292,1415
33292,2788
33292,2789
33292,2790
33292,2791
33292,2792
33292,2793
33292,2794
33292,2795
33292,2796
33292,2797
33292,2798
33292,2429
33292,2430
33292,2431
33292,3023
6693,4608
6693,12531
6693,4654
6693,4461
6693,11673
6693,981
6693,9112
6693,985
6693,11534
33292,2433
33292,2434
33292,2478
33292,2800
33292,2802
33292,10600
33292,2804
33292,2805
33292,2806
33292,2807
33292,2808
33292,2809
33292,1457
33292,1458
33292,1459
33292,1460
33292,1461
33292,1462
33292,2812
33292,2813
33292,12893
33292,2815
33292,2816
33292,13051
33292,8737
33292,8683
30050,3394
30050,3196
30050,12028
30050,3975
30050,3976
30050,3977
30050,3978
30050,3979
30050,3980
30050,3981
30050,10145
30050,3982
30050,9414
30050,9279
30050,9280
30050,9243
30050,9244
30050,9248
30050,9247
30050,9246
30050,9245
39307,11196
39307,1767
39307,4473
39307,1769
39307,8613
39307,1770
39307,1771
39307,1772
39307,1773
39307,12952
39307,1763
39307,4003
39307,4472
39307,1766
39307,12837
39307,11200
6796,11716
6796,2338
6796,8978
6796,2451
6796,12841
6796,8988
6796,9186
6796,2496
6796,2498
6796,2499
6796,2500
6796,2501
6796,2502
6796,3628
6796,3629
6796,3631
6796,3632
6796,9192
6796,3619
6796,3620
6796,12167
6796,2507
6796,2508
6796,2323
6796,2325
6796,1442
38311,12950
38311,11597
38311,4194
38311,12682
38311,10865
38311,4427
38311,11367
38311,4485
38311,12683
38311,11866
38311,11868
6635,12360
6635,1945
6635,8546
6635,351
6635,354
6635,13106
6635,397
6635,12813
6635,11473
6635,75
6635,11881
6635,30
6635,31
6635,77
6635,10553
6633,1902
6633,1903
6633,1904
6633,12168
6633,378
6633,379
6633,12663
6633,132
6633,382
6633,383
6633,384
6633,385
6633,387
6633,388
6633,389
6633,390
6633,392
6633,200
6633,12672
6633,134
6633,12586
6633,10595
6633,139
6633,140
6633,12664
6633,648
6633,649
6633,650
6633,651
6633,652
6633,653
6633,655
6633,656
6633,657
6633,1079
6633,1131
