route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name,bus_subtype,static_stop_count,has_shape,total_records,unique_vehicles,days_active,activity_rank,is_critical
12th Street,3,,,TL,6647,https://translink.ca/schedules-and-maps/route/112/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=112,,112,Regular Bus,31,True,0,0,0,27,False
Lougheed Station/22nd St Station,3,,,TL,6643,https://translink.ca/schedules-and-maps/route/101/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=101,,101,Regular Bus,77,True,0,0,0,28,False
South Delta Exchange/Boundary Bay,3,,,TL,6844,https://translink.ca/schedules-and-maps/route/619/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=619,,619,Regular Bus,29,True,0,0,0,29,False
English Bluff/South Delta Exchange,3,,,TL,6843,https://translink.ca/schedules-and-maps/route/614/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=614,,614,Regular Bus,40,True,0,0,0,30,False
Coquitlam Central Station/Lansdowne,3,,,TL,30048,https://translink.ca/schedules-and-maps/route/185/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=185,,185,Regular Bus,27,True,0,0,0,31,False
North Fraser Way,3,,,TL,6648,https://translink.ca/schedules-and-maps/route/116/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=116,,116,Regular Bus,79,True,0,0,0,32,False
Coquitlam Central Station/Hampton Park,3,,,TL,30049,https://translink.ca/schedules-and-maps/route/186/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=186,,186,Regular Bus,37,True,0,0,0,33,False
Coquitlam Central Station/Buntzen Lake,3,,,TL,30042,https://translink.ca/schedules-and-maps/route/179/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=179,,179,Regular Bus,37,True,0,0,0,34,False
Marine Dr Express,3,,,TL,45596,https://translink.ca/schedules-and-maps/route/80/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=80,,080,Express,15,True,0,0,0,35,False
Fraser,3,,,TL,6840,https://translink.ca/schedules-and-maps/route/N8/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N8,,N8,NightBus,97,True,0,0,0,36,False
Canada Way,3,,,TL,6649,https://translink.ca/schedules-and-maps/route/123/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=123,,123,Regular Bus,73,True,0,0,0,37,False
22nd St Station/Annacis Island,3,,,TL,6644,https://translink.ca/schedules-and-maps/route/104/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=104,,104,Regular Bus,43,True,0,0,0,38,False
Broadway-Lougheed,3,,,TL,6841,https://translink.ca/schedules-and-maps/route/N9/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N9,,N9,NightBus,161,True,0,0,0,39,False
Murrayville/Langley Centre,3,,,TL,34044,https://translink.ca/schedules-and-maps/route/560/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=560,,560,Express,58,True,0,0,0,40,False
Brighouse Station/One Road,3,,,TL,6722,https://translink.ca/schedules-and-maps/route/401/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=401,,401,Regular Bus,67,True,0,0,0,41,False
Langley Centre/King George Station,3,,,TL,6721,https://translink.ca/schedules-and-maps/route/395/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=395,,395,Regular Bus,80,True,0,0,0,42,False
Gilbert/Bridgeport,3,,,TL,6727,https://translink.ca/schedules-and-maps/route/407/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=407,,407,Regular Bus,138,True,0,0,0,43,False
White Rock Centre/King George Station,3,,,TL,6720,https://translink.ca/schedules-and-maps/route/394/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=394,,394,Regular Bus,44,True,0,0,0,44,False
Five Road/Cambie,3,,,TL,6726,https://translink.ca/schedules-and-maps/route/405/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=405,,405,Regular Bus,105,True,0,0,0,45,False
Kingsway,3,,,TL,32799,https://translink.ca/schedules-and-maps/route/119/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=119,,119,Regular Bus,40,True,0,0,0,46,False
Coquitlam Central Station/Parkway,3,,,TL,30050,https://translink.ca/schedules-and-maps/route/187/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=187,,187,Regular Bus,39,True,0,0,0,47,False
Coquitlam Central Station/Lafarge Park,3,,,TL,30051,https://translink.ca/schedules-and-maps/route/189/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=189,,189,Regular Bus,24,True,0,0,0,48,False
White Rock Centre/Bridgeport Station,3,,,TL,6715,https://translink.ca/schedules-and-maps/route/351/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=351,,351,Regular Bus,46,True,0,0,0,49,False
152 Street,3,,,TL,6714,https://translink.ca/schedules-and-maps/route/345/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=345,,345,Regular Bus,88,True,0,0,0,50,False
New West Station/Uptown,3,,,TL,6796,https://translink.ca/schedules-and-maps/route/105/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=105,,105,Regular Bus,50,True,0,0,0,51,False
Surrey Central Station/Scottsdale,3,,,TL,6710,https://translink.ca/schedules-and-maps/route/329/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=329,,329,Regular Bus,65,True,0,0,0,52,False
New West Station/Quayside,3,,,TL,6790,https://translink.ca/schedules-and-maps/route/103/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=103,,103,Regular Bus,9,True,0,0,0,53,False
Como Lake Ave,3,,,TL,6659,https://translink.ca/schedules-and-maps/route/151/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=151,,151,Regular Bus,63,True,0,0,0,54,False
SFU Exchange/Production Station,3,,,TL,6658,https://translink.ca/schedules-and-maps/route/145/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=145,,145,Regular Bus,12,True,0,0,0,55,False
Richmond Oval/Brighouse Station,3,,,TL,13684,https://translink.ca/schedules-and-maps/route/414/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=414,,414,Regular Bus,25,True,0,0,0,56,False
SFU Exchange/Burquitlam Station,3,,,TL,6656,https://translink.ca/schedules-and-maps/route/143/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=143,,143,Regular Bus,10,True,0,0,0,57,False
Lougheed Station/Brentwood Station,3,,,TL,6654,https://translink.ca/schedules-and-maps/route/136/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=136,,136,Regular Bus,77,True,0,0,0,58,False
Bike Bus,3,,,TL,44845,https://translink.ca/schedules-and-maps/route/900/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=900,,900,Regular Bus,11,True,0,0,0,59,False
Lake City Station/Brentwood Station,3,,,TL,6652,https://translink.ca/schedules-and-maps/route/134/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=134,,134,Regular Bus,88,True,0,0,0,60,False
Willingdon,3,,,TL,6651,https://translink.ca/schedules-and-maps/route/130/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=130,,130,Regular Bus,59,True,0,0,0,61,False
Patterson Station/Holdom Station,3,,,TL,6650,https://translink.ca/schedules-and-maps/route/129/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=129,,129,Regular Bus,85,True,0,0,0,62,False
Brookswood School Special,3,,,TL,29040,https://translink.ca/schedules-and-maps/route/840/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=840,,840,Regular Bus,22,True,0,0,0,63,False
Garden City,3,,,TL,34543,https://translink.ca/schedules-and-maps/route/408/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=408,,408,Regular Bus,61,True,0,0,0,64,False
Haney Place/Braid Station,3,,,TL,7224,https://translink.ca/schedules-and-maps/route/791/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=791,,791,Regular Bus,85,True,0,0,0,65,False
New West Station/Victoria  Hill,3,,,TL,46099,https://translink.ca/schedules-and-maps/route/102/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=102,,102,Regular Bus,17,True,0,0,0,66,False
Fraser Heights/Surrey Central Station,3,,,TL,17707,https://translink.ca/schedules-and-maps/route/337/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=337,,337,Regular Bus,35,True,0,0,0,67,False
16th & 33rd Avenue,3,,,TL,11201,https://translink.ca/schedules-and-maps/route/33/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=33,,033,Regular Bus,90,True,0,0,0,68,False
Seaside/White Rock Centre,3,,,TL,31818,https://translink.ca/schedules-and-maps/route/362/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=362,,362,Regular Bus,24,True,0,0,0,69,False
Surrey Central Station/Sunbury,3,,,TL,6701,https://translink.ca/schedules-and-maps/route/314/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=314,,314,Regular Bus,68,True,0,0,0,70,False
112 Street,3,,,TL,6700,https://translink.ca/schedules-and-maps/route/312/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=312,,312,Regular Bus,67,True,0,0,0,71,False
Alma/Spanish Banks,3,,,TL,11202,https://translink.ca/schedules-and-maps/route/42/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=42,,042,Regular Bus,20,True,0,0,0,72,False
Scott Road,3,,,TL,6703,https://translink.ca/schedules-and-maps/route/319/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=319,,319,Regular Bus,60,True,0,0,0,73,False
116 Street,3,,,TL,6702,https://translink.ca/schedules-and-maps/route/316/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=316,,316,Regular Bus,68,True,0,0,0,74,False
Langley/Fleetwood/Surrey Central Station,3,,,TL,6704,https://translink.ca/schedules-and-maps/route/320/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=320,,320,Regular Bus,125,True,0,0,0,75,False
132 Street,3,,,TL,6707,https://translink.ca/schedules-and-maps/route/324/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=324,,324,Regular Bus,63,True,0,0,0,76,False
128 Street,3,,,TL,6706,https://translink.ca/schedules-and-maps/route/323/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=323,,323,Regular Bus,70,True,0,0,0,77,False
Indian River/Phibbs Exchange,3,,,TL,6780,https://translink.ca/schedules-and-maps/route/215/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=215,,215,Regular Bus,38,True,0,0,0,78,False
Coquitlam Central Station/Braid Station,3,,,TL,6668,https://translink.ca/schedules-and-maps/route/169/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=169,,169,Regular Bus,31,True,0,0,0,79,False
SFU Exchange/Metrotown Station,3,,,TL,6657,https://translink.ca/schedules-and-maps/route/144/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=144,,144,Regular Bus,89,True,0,0,0,80,False
8th Avenue,3,,,TL,6662,https://translink.ca/schedules-and-maps/route/128/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=128,,128,Regular Bus,49,True,0,0,0,81,False
6th Avenue,3,,,TL,6663,https://translink.ca/schedules-and-maps/route/155/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=155,,155,Regular Bus,57,True,0,0,0,82,False
Coquitlam Central Station/Braid Station,3,,,TL,6661,https://translink.ca/schedules-and-maps/route/153/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=153,,153,Regular Bus,72,True,0,0,0,83,False
Coquitlam Central Station/Lougheed Station,3,,,TL,6660,https://translink.ca/schedules-and-maps/route/152/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=152,,152,Regular Bus,105,True,0,0,0,84,False
Coquitlam Central Station/Braid Station,3,,,TL,6666,https://translink.ca/schedules-and-maps/route/159/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=159,,159,Regular Bus,91,True,0,0,0,85,False
Braid Station/Lougheed Station,3,,,TL,6664,https://translink.ca/schedules-and-maps/route/156/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=156,,156,Regular Bus,100,True,0,0,0,86,False
Burquitlam Station/Lougheed Station,3,,,TL,6665,https://translink.ca/schedules-and-maps/route/157/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=157,,157,Regular Bus,62,True,0,0,0,87,False
Lord Tweedsmuir School Special,3,,,TL,29039,https://translink.ca/schedules-and-maps/route/864/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=864,,864,Regular Bus,24,True,0,0,0,88,False
Langley Centre/Newton Exchange,3,,,TL,29038,https://translink.ca/schedules-and-maps/route/342/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=342,,342,Regular Bus,88,True,0,0,0,89,False
Rupert,3,,,TL,6629,https://translink.ca/schedules-and-maps/route/27/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=27,,027,Regular Bus,64,True,0,0,0,90,False
Newton Exchange/Scottsdale,3,,,TL,6821,https://translink.ca/schedules-and-maps/route/322/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=322,,322,Regular Bus,77,True,0,0,0,91,False
Scottsdale/Ladner,3,,,TL,6822,https://translink.ca/schedules-and-maps/route/310/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=310,,310,Regular Bus,71,True,0,0,0,92,False
Ladner South/Ladner Exchange,3,,,TL,6823,https://translink.ca/schedules-and-maps/route/616/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=616,,616,Regular Bus,26,True,0,0,0,93,False
Ladner North/Ladner Exchange,3,,,TL,6825,https://translink.ca/schedules-and-maps/route/618/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=618,,618,Regular Bus,55,True,0,0,0,94,False
Bridgeport Station/Sea Island South,3,,,TL,6827,https://translink.ca/schedules-and-maps/route/412/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=412,,412,Regular Bus,17,True,0,0,0,95,False
Riverport/Steveston,3,,,TL,6828,https://translink.ca/schedules-and-maps/route/413/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=413,,413,Regular Bus,76,True,0,0,0,96,False
East Cambie/Brighouse Station,3,,,TL,6829,https://translink.ca/schedules-and-maps/route/416/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=416,,416,Regular Bus,61,True,0,0,0,97,False
Blueridge/Phibbs Exchange/Burrard Station,3,,,TL,6675,https://translink.ca/schedules-and-maps/route/214/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=214,,214,Regular Bus,54,True,0,0,0,98,False
Dollarton Hwy,3,,,TL,6674,https://translink.ca/schedules-and-maps/route/212/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=212,,212,Regular Bus,39,True,0,0,0,99,False
Moody Centre Station/Lougheed Station,3,,,TL,30043,https://translink.ca/schedules-and-maps/route/180/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=180,,180,Regular Bus,62,True,0,0,0,100,False
Moody Centre Station/Coquitlam Central Station,3,,,TL,30046,https://translink.ca/schedules-and-maps/route/183/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=183,,183,Regular Bus,71,True,0,0,0,101,False
Moody Centre Station/Noons Creek,3,,,TL,30047,https://translink.ca/schedules-and-maps/route/184/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=184,,184,Regular Bus,37,True,0,0,0,102,False
Moody Centre Station/Ioco,3,,,TL,30044,https://translink.ca/schedules-and-maps/route/181/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=181,,181,Regular Bus,63,True,0,0,0,103,False
Coquitlam Central Station/Meridian,3,,,TL,30041,https://translink.ca/schedules-and-maps/route/175/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=175,,175,Regular Bus,39,True,0,0,0,104,False
Moody Centre Station/Belcarra,3,,,TL,30045,https://translink.ca/schedules-and-maps/route/182/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=182,,182,Regular Bus,74,True,0,0,0,105,False
Harbourside/Lonsdale Quay,3,,,TL,18213,https://translink.ca/schedules-and-maps/route/231/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=231,,231,Regular Bus,10,True,0,0,0,106,False
128 Street,3,,,TL,6719,https://translink.ca/schedules-and-maps/route/393/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=393,,393,Regular Bus,80,True,0,0,0,107,False
116 Street,3,,,TL,6718,https://translink.ca/schedules-and-maps/route/391/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=391,,391,Regular Bus,51,True,0,0,0,108,False
White Rock Centre/Bridgeport Station,3,,,TL,6716,https://translink.ca/schedules-and-maps/route/352/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=352,,352,Regular Bus,72,True,0,0,0,109,False
White Rock South/Bridgeport Station,3,,,TL,6717,https://translink.ca/schedules-and-maps/route/354/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=354,,354,Regular Bus,79,True,0,0,0,110,False
