route_id,route_short_name,route_long_name,mode,bus_subtype,days_active,mean_daily_records,cv_daily_records,is_persistent,stability_score
40855,350,White Rock Centre/Crescent Beach,Bus,Regular Bus,5,5314.4,0.0881,True,86.99
6687,250,Horseshoe Bay/Dundarave/Vancouver,Bus,Regular Bus,5,22826.2,0.0885,True,86.94
6642,100,Marine Drive,Bus,Regular Bus,5,21803.2,0.0888,True,86.89
11692,364,64 Avenue,Bus,Regular Bus,5,13940.8,0.0889,True,86.88
6821,322,Newton Exchange/Scottsdale,Bus,Regular Bus,5,13778.2,0.0893,True,86.82
6730,430,Metrotown Station/Brighouse Station,Bus,Regular Bus,5,16219.4,0.09,True,86.71
16718,014,Hastings/UBC Exchange,Bus,Regular Bus,5,25790.8,0.0911,True,86.55
6692,255,Dundarave/Capilano University,Bus,Regular Bus,5,10393.2,0.0923,True,86.37
6614,004,Powell/UBC Exchange,Bus,Regular Bus,5,20075.2,0.0938,True,86.15
6706,323,128 Street,Bus,Regular Bus,5,19962.2,0.0942,True,86.09
6680,236,Grouse Mountain/Lonsdale Quay,Bus,Regular Bus,5,6938.8,0.0962,True,85.8
7321,375,152 Street,Bus,Regular Bus,5,9756.4,0.0964,True,85.77
6828,413,Riverport/Steveston,Bus,Regular Bus,5,2912.4,0.0965,True,85.75
6693,257,Horseshoe Bay/Vancouver Express,Bus,Express,5,11666.0,0.0969,True,85.7
6643,101,Lougheed Station/22nd St Station,Bus,Regular Bus,5,7655.2,0.0972,True,85.65
6727,407,Gilbert/Bridgeport,Bus,Regular Bus,5,11431.2,0.098,True,85.53
6780,215,Indian River/Phibbs Exchange,Bus,Regular Bus,5,3496.8,0.0988,True,85.41
46099,102,New West Station/Victoria  Hill,Bus,Regular Bus,5,3602.4,0.1003,True,85.19
6675,214,Blueridge/Phibbs Exchange/Burrard Station,Bus,Regular Bus,5,2985.4,0.1014,True,85.03
6747,620,Tsawwassen Ferry/Bridgeport Station Exp,Bus,Regular Bus,5,7065.8,0.1017,True,84.99
8290,341,Guildford/Newton Exchange,Bus,Regular Bus,5,6887.8,0.1024,True,84.88
6664,156,Braid Station/Lougheed Station,Bus,Regular Bus,5,6803.4,0.1038,True,84.68
6624,019,Kingsway,Bus,Regular Bus,5,28942.6,0.1046,True,84.56
6833,N17,West Broadway,Bus,NightBus,5,509.4,0.105,True,84.5
6704,320,Langley/Fleetwood/Surrey Central Station,Bus,Regular Bus,5,16986.2,0.1059,True,84.37
6682,240,Lynn Valley/Downtown,Bus,Regular Bus,5,19189.4,0.1065,True,84.28
6666,159,Coquitlam Central Station/Braid Station,Bus,Regular Bus,5,9567.6,0.1074,True,84.15
6615,005,Robson,Bus,Regular Bus,5,11862.8,0.108,True,84.06
6737,501,Langley Centre/Surrey Central Station,Bus,Regular Bus,5,17802.4,0.1083,True,84.01
6646,110,Lougheed Station/Metrotown Station,Bus,Regular Bus,5,10279.0,0.1084,True,84.0
22638,188,Coast Meridian Rd,Bus,Regular Bus,5,8366.8,0.109,True,83.91
6672,210,Mountain Hwy Express,Bus,Express,5,9698.4,0.1114,True,83.55
6645,106,6th Street,Bus,Regular Bus,5,12642.0,0.1114,True,83.55
6707,324,132 Street,Bus,Regular Bus,5,9918.0,0.1114,True,83.55
6630,028,Boundary,Bus,Regular Bus,5,11002.2,0.1116,True,83.53
6688,251,Queens/Park Royal,Bus,Regular Bus,5,2738.6,0.1116,True,83.53
6676,228,Grand Blvd,Bus,Regular Bus,5,6695.6,0.112,True,83.47
30046,183,Moody Centre Station/Coquitlam Central Station,Bus,Regular Bus,5,9080.2,0.1125,True,83.39
6658,145,SFU Exchange/Production Station,Bus,Regular Bus,5,7019.6,0.1125,True,83.39
6776,131,Hastings @ Gilmore/Kootenay Loop,Bus,Regular Bus,5,1498.4,0.1125,True,83.39
6728,410,Brighouse Station/22nd St Station,Bus,Regular Bus,5,24046.8,0.1127,True,83.36
6628,026,Joyce Station/29th Avenue Station,Bus,Regular Bus,5,8846.4,0.1135,True,83.24
6651,130,Willingdon,Bus,Regular Bus,5,18432.6,0.1141,True,83.16
30039,173,Coquitlam Central Station/Cedar,Bus,Regular Bus,5,6180.2,0.1147,True,83.07
6779,262,Lions Bay/Caulfeild,Bus,Regular Bus,5,1581.0,0.1167,True,82.77
6629,027,Rupert,Bus,Regular Bus,5,6483.8,0.1173,True,82.68
11696,609,South Delta Exchange/Ladner Exchange,Bus,Regular Bus,5,7169.6,0.1174,True,82.67
6627,025,King Edward,Bus,Regular Bus,5,29521.0,0.1178,True,82.61
34543,408,Garden City,Bus,Regular Bus,5,8815.8,0.1183,True,82.54
6712,335,Newton Exchange/Surrey Central Station,Bus,Regular Bus,5,25318.8,0.1192,True,82.4
6844,619,South Delta Exchange/Boundary Bay,Bus,Regular Bus,5,938.8,0.12,True,82.29
6822,310,Scottsdale/Ladner,Bus,Regular Bus,5,7871.0,0.1204,True,82.23
6843,614,English Bluff/South Delta Exchange,Bus,Regular Bus,5,903.0,0.1217,True,82.03
18705,531,White Rock Centre/Willowbrook,Bus,Regular Bus,5,11499.4,0.1222,True,81.96
6708,325,140 Street,Bus,Regular Bus,5,7204.6,0.1222,True,81.96
6698,301,Newton Exchange/Brighouse Station Express,Bus,Express,5,12237.2,0.1228,True,81.87
6631,029,Elliott/29th Avenue Station,Bus,Regular Bus,5,3821.2,0.1238,True,81.72
6710,329,Surrey Central Station/Scottsdale,Bus,Regular Bus,5,1416.0,0.1252,True,81.52
29038,342,Langley Centre/Newton Exchange,Bus,Regular Bus,5,13814.2,0.1252,True,81.52
23384,503,Fraser Hwy Express,Bus,Express,5,31852.8,0.1261,True,81.38
37807,R5,Hastings St,Bus,RapidBus,5,25117.6,0.1266,True,81.31
34540,719,Meadowtown/Fraser Way,Bus,Regular Bus,5,1895.6,0.1274,True,81.19
48855,338,East Fraser Heights/Guildford,Bus,Regular Bus,5,2835.6,0.1276,True,81.16
30043,180,Moody Centre Station/Lougheed Station,Bus,Regular Bus,5,8797.8,0.13,True,80.81
33292,133,Holdom Station/Edmonds Station,Bus,Regular Bus,5,6187.2,0.1308,True,80.69
6825,618,Ladner North/Ladner Exchange,Bus,Regular Bus,5,1248.8,0.1312,True,80.63
31821,733,Rock Ridge/Haney Place,Bus,Regular Bus,5,2307.4,0.1314,True,80.6
7322,132,Capitol Hill/Hastings @ Gilmore,Bus,Regular Bus,5,926.2,0.1329,True,80.38
6819,373,Guildford/Surrey Central Station,Bus,Regular Bus,5,12684.2,0.1339,True,80.23
