route_rank,route_rank_pct,route_id,route_short_name,route_long_name,mode,bus_subtype,total_records,cumulative_records,cumulative_pct
63,28.000000000000004,6646,110,Lougheed Station/Metrotown Station,Bus,Regular Bus,51395,5885775,63.23679701436989
64,28.444444444444443,30055,023,Pacific,Bus,Regular Bus,51355,5937130,63.78855539974361
65,28.888888888888886,32799,119,Kingsway,Bus,Regular Bus,51258,5988388,64.33927161661607
66,29.333333333333332,6707,324,132 Street,Bus,Regular Bus,49590,6037978,64.87206683286927
67,29.777777777777775,6648,116,North Fraser Way,Bus,Regular Bus,48886,6086864,65.39729826948457
68,30.22222222222222,7321,375,152 Street,Bus,Regular Bus,48782,6135646,65.92141232956249
69,30.666666666666664,6672,210,Mountain Hwy Express,Bus,Express,48492,6184138,66.44241062814181
70,31.11111111111111,6666,159,Coquitlam Central Station/Braid Station,Bus,Regular Bus,47838,6231976,66.95638234734166
71,31.555555555555554,6637,050,Waterfront Station/False Creek South,Bus,Regular Bus,45532,6277508,67.44557839062539
72,32.0,6722,401,Brighouse Station/One Road,Bus,Regular Bus,45424,6322932,67.93361408135102
73,32.44444444444444,30046,183,Moody Centre Station/Coquitlam Central Station,Bus,Regular Bus,45401,6368333,68.42140265995782
74,32.88888888888889,6713,340,Scottsdale/22nd St Station,Bus,Regular Bus,44573,6412906,68.90029520228597
75,33.33333333333333,6628,026,Joyce Station/29th Avenue Station,Bus,Regular Bus,44232,6457138,69.37552403885205
76,33.77777777777778,34543,408,Garden City,Bus,Regular Bus,44079,6501217,69.84910904262749
77,34.22222222222222,30043,180,Moody Centre Station/Lougheed Station,Bus,Regular Bus,43989,6545206,70.32172708593785
78,34.66666666666667,6673,211,Seymour/Phibbs Exchange/Burrard Station,Bus,Regular Bus,43167,6588373,70.7855135570006
79,35.11111111111111,7224,791,Haney Place/Braid Station,Bus,Regular Bus,42690,6631063,71.24417513759848
80,35.55555555555556,11693,388,88 Avenue,Bus,Regular Bus,42414,6673477,71.69987137277015
81,36.0,6621,015,Cambie,Bus,Regular Bus,41906,6715383,72.15010965331675
82,36.44444444444444,22638,188,Coast Meridian Rd,Bus,Regular Bus,41834,6757217,72.59957436549128
83,36.888888888888886,6700,312,112 Street,Bus,Regular Bus,40262,6797479,73.03214950154262
84,37.333333333333336,6650,129,Patterson Station/Holdom Station,Bus,Regular Bus,40166,6837645,73.4636932130979
85,37.77777777777778,6822,310,Scottsdale/Ladner,Bus,Regular Bus,39355,6877000,73.88652353646236
86,38.22222222222222,6726,405,Five Road/Cambie,Bus,Regular Bus,38760,6915760,74.3029611767522
87,38.666666666666664,6643,101,Lougheed Station/22nd St Station,Bus,Regular Bus,38276,6954036,74.71419871854101
88,39.111111111111114,6660,152,Coquitlam Central Station/Lougheed Station,Bus,Regular Bus,38015,6992051,75.12263207498113
89,39.55555555555556,6708,325,140 Street,Bus,Regular Bus,36023,7028074,75.5096633731277
90,40.0,11696,609,South Delta Exchange/Ladner Exchange,Bus,Regular Bus,35848,7063922,75.89481447036997
91,40.44444444444444,39305,222,Willingdon Express,Bus,Express,35646,7099568,76.27779527856842
92,40.88888888888889,6644,104,22nd St Station/Annacis Island,Bus,Regular Bus,35336,7134904,76.65744544516497
