feature,rf_importance,logit_coef
reliability_score,0.1964225491797693,-0.4567788517962381
intervention_priority_score,0.15007999273219566,0.4820623041916265
worst_segment_events,0.12443765291619982,0.5820034552054028
bc_place_exposure,0.11140685494216797,0.6098824558173461
severe_bunching_rate_pct,0.09054830218224456,0.4499043203615426
bunching_rate_pct,0.0880941020392417,0.4429932518321224
total_bunching_events,0.0747167816533683,0.3395254939335518
severe_events,0.0702576928648368,0.29955706074712074
existing_reliability_weakness,0.06749699374171883,0.4334442185391169
downtown_exposure,0.012787178086533908,0.4473701156444592
peak_bunching_share_pct,0.010397115984149902,0.056357651734629484
route_type_encoded,0.002471113905316467,0.012607134768799592
pm_peak_vulnerability,0.0006478605935127703,0.06640219176316872
fan_festival_exposure,0.00022222222222222586,0.11505042307443296
skytrain_connector_exposure,1.35869565217506e-05,0.11058581085918304
