route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km
18705,531,White Rock Centre/Willowbrook,0,318199,1,98,6.64
18705,531,White Rock Centre/Willowbrook,0,313186,1,98,6.64
18705,531,White Rock Centre/Willowbrook,1,318201,97,267,23.54
18705,531,White Rock Centre/Willowbrook,1,313189,97,267,23.54
18705,531,White Rock Centre/Willowbrook,1,313190,18,260,23.14
18705,531,White Rock Centre/Willowbrook,1,318200,18,260,23.14
20667,555,Port Mann Express,0,313191,131,399,22.29
20667,555,Port Mann Express,0,318202,131,399,22.29
20667,555,Port Mann Express,1,318203,132,407,22.05
20667,555,Port Mann Express,1,313192,132,407,22.05
22638,188,Coast Meridian Rd,0,317719,135,224,12.7
22638,188,Coast Meridian Rd,0,312719,134,224,12.7
22638,188,Coast Meridian Rd,1,317720,137,205,12.54
22638,188,Coast Meridian Rd,1,312720,136,205,12.54
22639,227,Lynn Valley/Phibbs Exchange,0,317772,114,189,8.39
22639,227,Lynn Valley/Phibbs Exchange,0,312773,114,189,8.39
22639,227,Lynn Valley/Phibbs Exchange,1,317774,112,160,7.04
22639,227,Lynn Valley/Phibbs Exchange,1,312775,112,160,7.04
23384,503,Fraser Hwy Express,0,318181,145,349,33.81
23384,503,Fraser Hwy Express,0,313171,144,349,33.81
23384,503,Fraser Hwy Express,0,318183,104,202,18.44
23384,503,Fraser Hwy Express,0,313169,102,202,18.44
23384,503,Fraser Hwy Express,0,313170,8,151,15.86
23384,503,Fraser Hwy Express,0,318182,8,151,15.86
23384,503,Fraser Hwy Express,0,313172,2,228,20.33
23384,503,Fraser Hwy Express,0,318180,2,228,20.33
23384,503,Fraser Hwy Express,1,318186,147,421,36.57
23384,503,Fraser Hwy Express,1,313175,147,421,36.57
23384,503,Fraser Hwy Express,1,318188,114,218,17.96
23384,503,Fraser Hwy Express,1,313173,111,218,17.96
23384,503,Fraser Hwy Express,1,318187,5,205,18.71
23384,503,Fraser Hwy Express,1,313174,5,205,18.71
23384,503,Fraser Hwy Express,1,318185,1,241,19.73
23384,503,Fraser Hwy Express,1,313177,1,28,2.19
23384,503,Fraser Hwy Express,1,318184,1,28,2.19
23384,503,Fraser Hwy Express,1,313176,1,241,19.73
29038,342,Langley Centre/Newton Exchange,0,313008,134,183,20.85
29038,342,Langley Centre/Newton Exchange,0,318016,134,183,20.85
29038,342,Langley Centre/Newton Exchange,0,313007,12,180,20.64
29038,342,Langley Centre/Newton Exchange,0,318017,12,180,20.64
29038,342,Langley Centre/Newton Exchange,1,314721,131,249,21.74
29038,342,Langley Centre/Newton Exchange,1,318018,130,249,21.74
29038,342,Langley Centre/Newton Exchange,1,318019,13,243,21.35
29038,342,Langley Centre/Newton Exchange,1,313009,12,243,21.35
29039,864,Lord Tweedsmuir School Special,1,314723,1,92,11.55
29039,864,Lord Tweedsmuir School Special,1,318352,1,92,11.55
29040,840,Brookswood School Special,1,318345,1,123,7.41
29040,840,Brookswood School Special,1,313334,1,123,7.41
30036,170,Port Coquitlam Station/Port Coquitlam South,0,317672,125,88,4.21
30036,170,Port Coquitlam Station/Port Coquitlam South,0,312672,125,88,4.21
30036,170,Port Coquitlam Station/Port Coquitlam South,1,312674,122,80,4.07
30036,170,Port Coquitlam Station/Port Coquitlam South,1,317674,122,80,4.07
30036,170,Port Coquitlam Station/Port Coquitlam South,1,312673,2,91,4.83
30036,170,Port Coquitlam Station/Port Coquitlam South,1,317675,2,91,4.83
30036,170,Port Coquitlam Station/Port Coquitlam South,1,317673,1,72,3.43
30036,170,Port Coquitlam Station/Port Coquitlam South,1,312675,1,72,3.43
30037,171,Coquitlam Central Station/Fremont,0,317676,103,110,6.86
30037,171,Coquitlam Central Station/Fremont,0,312676,103,110,6.86
30037,171,Coquitlam Central Station/Fremont,1,317677,109,133,6.56
30037,171,Coquitlam Central Station/Fremont,1,312677,108,133,6.56
30038,172,Coquitlam Central Station/Riverside,0,312679,108,195,10.74
30038,172,Coquitlam Central Station/Riverside,0,317678,108,195,10.74
30038,172,Coquitlam Central Station/Riverside,0,312678,1,182,9.17
30038,172,Coquitlam Central Station/Riverside,0,317679,1,182,9.17
30038,172,Coquitlam Central Station/Riverside,1,312680,103,200,10.65
30038,172,Coquitlam Central Station/Riverside,1,317680,103,200,10.65
30039,173,Coquitlam Central Station/Cedar,0,312681,98,221,11.34
30039,173,Coquitlam Central Station/Cedar,0,317683,98,221,11.34
30039,173,Coquitlam Central Station/Cedar,0,312682,5,129,7.19
30039,173,Coquitlam Central Station/Cedar,0,317682,5,129,7.19
30039,173,Coquitlam Central Station/Cedar,1,312684,105,266,12.1
30039,173,Coquitlam Central Station/Cedar,1,317684,105,266,12.1
30040,174,Coquitlam Central Station/Rocklin,0,312685,98,244,12.61
30040,174,Coquitlam Central Station/Rocklin,0,317686,98,244,12.61
30040,174,Coquitlam Central Station/Rocklin,0,312686,7,151,8.46
30040,174,Coquitlam Central Station/Rocklin,0,317685,7,151,8.46
30040,174,Coquitlam Central Station/Rocklin,1,317688,104,291,13.18
30040,174,Coquitlam Central Station/Rocklin,1,312687,103,291,13.18
30041,175,Coquitlam Central Station/Meridian,0,317691,17,142,8.51
