service_date,collection_timestamp,route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,vehicle_id,next_vehicle_id,approx_shape_dist_traveled,next_shape_dist,distance_to_next_bus_km,bunching_severity,peak_period,route_segment_km
2026-05-23 00:00:00,2026-05-23 18:01:57.999583-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,9.1576,9.3818,0.2242,High,PM Peak,9.0
2026-05-23 00:00:00,2026-05-23 18:04:31.368774-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.3437,10.4719,0.1282,High,PM Peak,10.0
2026-05-23 00:00:00,2026-05-23 18:05:02.38458-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.4241,10.4719,0.0478,Severe,PM Peak,10.0
2026-05-23 00:00:00,2026-05-23 18:05:32.963171-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.4654,10.5773,0.1119,High,PM Peak,10.0
2026-05-23 00:00:00,2026-05-23 18:06:03.560404-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.4654,10.6627,0.1973,High,PM Peak,10.0
2026-05-23 00:00:00,2026-05-23 18:06:34.160097-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.5773,10.6628,0.0855,Severe,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:07:04.87758-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.6627,10.8267,0.164,High,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:07:35.449017-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.6628,10.9899,0.3271,Moderate,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:08:06.090302-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.6628,10.9899,0.3271,Moderate,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:08:36.649946-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.8267,11.159,0.3323,Moderate,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:09:07.35073-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.9899,11.159,0.1691,High,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:09:37.904269-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.9899,11.159,0.1691,High,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:10:08.582704-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,10.9899,11.3223,0.3324,Moderate,PM Peak,10.5
2026-05-23 00:00:00,2026-05-23 18:10:39.140961-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.3223,11.4959,0.1736,High,PM Peak,11.0
2026-05-23 00:00:00,2026-05-23 18:11:10.140198-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.3223,11.4959,0.1736,High,PM Peak,11.0
2026-05-23 00:00:00,2026-05-23 18:11:40.705371-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.3223,11.6767,0.3544,Moderate,PM Peak,11.0
2026-05-23 00:00:00,2026-05-23 18:12:11.364047-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.4959,11.6767,0.1808,High,PM Peak,11.0
2026-05-23 00:00:00,2026-05-23 18:12:42.059011-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.4959,11.6767,0.1808,High,PM Peak,11.0
2026-05-23 00:00:00,2026-05-23 18:13:43.845521-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.6767,11.7901,0.1134,High,PM Peak,11.5
2026-05-23 00:00:00,2026-05-23 18:15:17.394477-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.8362,11.8863,0.0501,Severe,PM Peak,11.5
2026-05-23 00:00:00,2026-05-23 18:15:47.986578-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.8863,11.9396,0.0533,Severe,PM Peak,11.5
2026-05-23 00:00:00,2026-05-23 18:16:18.59462-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.8863,11.9396,0.0533,Severe,PM Peak,11.5
