service_date,collection_timestamp,api_vehicle_timestamp,vehicle_id,route_id,trip_id,direction_id,shape_id,latitude,longitude,approx_shape_dist_traveled,nearest_shape_sequence,projection_error_m
2026-05-23 00:00:00,2026-05-23 00:00:11.200817-07,2026-05-22 23:59:41-07,19009,6641,14925613,0,312527,49.267799377441406,-123.24729919433594,0.1448,2,56.261069554311696
2026-05-23 00:00:00,2026-05-23 00:00:11.200817-07,2026-05-22 23:59:55-07,19020,6641,14925841,1,312530,49.26238250732422,-123.06716918945312,0.2639,6,21.51668132853622
2026-05-23 00:00:00,2026-05-23 00:00:11.200817-07,2026-05-22 23:59:56-07,19022,6641,14925840,1,312530,49.26350021362305,-123.12699890136719,4.6192,60,29.490545791124475
2026-05-23 00:00:00,2026-05-23 00:00:11.200817-07,2026-05-22 23:59:49-07,19044,6641,14925842,1,312530,49.26340103149414,-123.06900024414062,0.0,1,60.72993216566556
2026-05-23 00:00:00,2026-05-23 00:00:11.200817-07,2026-05-22 23:59:51-07,23013,6641,14925612,0,312527,49.26371765136719,-123.15148162841797,7.3224,81,63.57477360701289
2026-05-23 00:00:00,2026-05-23 00:00:11.200817-07,2026-05-22 23:59:55-07,24001,6641,14925839,1,312530,49.26374816894531,-123.22444915771484,12.2434,121,399.13727625824066
2026-05-23 00:00:00,2026-05-23 00:00:41.871407-07,2026-05-23 00:00:11-07,19009,6641,14925613,0,312527,49.267799377441406,-123.24729919433594,0.1448,2,56.261069554311696
2026-05-23 00:00:00,2026-05-23 00:00:41.871407-07,2026-05-23 00:00:26-07,19020,6641,14925841,1,312530,49.26241683959961,-123.0687484741211,0.4039,9,11.789460848397042
2026-05-23 00:00:00,2026-05-23 00:00:41.871407-07,2026-05-23 00:00:26-07,19022,6641,14925840,1,312530,49.26348114013672,-123.13027954101562,4.9649,62,78.9833041034632
2026-05-23 00:00:00,2026-05-23 00:00:41.871407-07,2026-05-23 00:00:17-07,19044,6641,14925842,1,312530,49.26340103149414,-123.06900024414062,0.0,1,60.72993216566556
2026-05-23 00:00:00,2026-05-23 00:00:41.871407-07,2026-05-23 00:00:20-07,23013,6641,14925612,0,312527,49.263668060302734,-123.14783477783203,7.6286,84,23.760862786884275
2026-05-23 00:00:00,2026-05-23 00:00:41.871407-07,2026-05-22 23:59:55-07,24001,6641,14925839,1,312530,49.26374816894531,-123.22444915771484,12.2434,121,399.13727625824066
2026-05-23 00:00:00,2026-05-23 00:01:12.417268-07,2026-05-23 00:00:41-07,19009,6641,14925613,0,312527,49.267799377441406,-123.24729919433594,0.1448,2,56.261069554311696
2026-05-23 00:00:00,2026-05-23 00:01:12.417268-07,2026-05-23 00:00:32-07,19020,6641,14925841,1,312530,49.26241683959961,-123.06888580322266,0.4162,10,12.144223718369636
2026-05-23 00:00:00,2026-05-23 00:01:12.417268-07,2026-05-23 00:00:55-07,19022,6641,14925840,1,312530,49.2635498046875,-123.13483428955078,5.1362,63,80.92483148044988
2026-05-23 00:00:00,2026-05-23 00:01:12.417268-07,2026-05-23 00:00:48-07,19044,6641,14925842,1,312530,49.26340103149414,-123.06900024414062,0.0,1,60.72993216566556
2026-05-23 00:00:00,2026-05-23 00:01:12.417268-07,2026-05-23 00:00:52-07,23013,6641,14925612,0,312527,49.263633728027344,-123.14309692382812,7.9729,86,23.221933745215363
2026-05-23 00:00:00,2026-05-23 00:01:12.417268-07,2026-05-23 00:00:23-07,24001,6641,14925839,1,312530,49.26361846923828,-123.23006439208984,12.2434,121,8.738579925024432
2026-05-23 00:00:00,2026-05-23 00:01:42.91329-07,2026-05-23 00:01:24-07,19009,6641,14925613,0,312527,49.2669677734375,-123.2484359741211,0.0,1,5.996619825703233
2026-05-23 00:00:00,2026-05-23 00:01:42.91329-07,2026-05-23 00:01:03-07,19020,6641,14925841,1,312530,49.26240158081055,-123.07420349121094,0.7576,15,40.73069013982469
2026-05-23 00:00:00,2026-05-23 00:01:42.91329-07,2026-05-23 00:01:25-07,19022,6641,14925840,1,312530,49.26351547241211,-123.13584899902344,5.3087,65,18.035716486846884
