shape_id,shape_points,first_sequence,last_sequence,min_shape_distance,max_shape_distance,shape_length_km
318193,352,1,352,0.0,25.1655,25.17
313178,351,1,351,0.0,25.0799,25.08
318192,351,1,351,0.0,25.0799,25.08
318272,388,1,388,0.0,25.0694,25.07
313260,388,1,388,0.0,25.0694,25.07
318274,388,1,388,0.0,25.0694,25.07
313266,388,1,388,0.0,25.0694,25.07
313262,388,1,388,0.0,25.0694,25.07
318268,388,1,388,0.0,25.0694,25.07
312938,311,1,311,0.0,24.9169,24.92
318281,384,1,384,0.0,24.9214,24.92
317936,311,1,311,0.0,24.9169,24.92
313267,384,1,384,0.0,24.9214,24.92
317934,285,1,285,0.0,24.8653,24.87
312934,285,1,285,0.0,24.8653,24.87
318196,347,1,347,0.0,24.6916,24.69
313182,347,1,347,0.0,24.6916,24.69
318126,335,1,335,0.0,24.678,24.68
313108,335,1,335,0.0,24.678,24.68
318238,261,1,261,0.0,24.6065,24.61
313222,261,1,261,0.0,24.6065,24.61
312937,306,1,306,0.0,24.542,24.54
317937,306,1,306,0.0,24.542,24.54
313096,303,1,303,0.0,24.2996,24.3
318104,303,1,303,0.0,24.2996,24.3
318127,336,1,336,0.0,24.2565,24.26
313107,336,1,336,0.0,24.2565,24.26
317947,320,1,320,0.0,24.2384,24.24
312940,320,1,320,0.0,24.2384,24.24
313102,311,1,311,0.0,24.1383,24.14
318116,311,1,311,0.0,24.1383,24.14
313409,435,1,435,0.0,24.1192,24.12
318422,435,1,435,0.0,24.1192,24.12
317457,403,1,403,0.0,24.0904,24.09
312455,403,1,403,0.0,24.0904,24.09
318289,354,1,354,0.0,24.06,24.06
313279,354,1,354,0.0,24.06,24.06
313390,609,1,609,0.0,24.0493,24.05
318411,609,1,609,0.0,24.0493,24.05
313261,375,1,375,0.0,23.9726,23.97
318273,375,1,375,0.0,23.9726,23.97
317907,275,1,275,0.0,23.8183,23.82
312906,275,1,275,0.0,23.8183,23.82
313268,372,1,372,0.0,23.783,23.78
318280,372,1,372,0.0,23.783,23.78
317839,456,1,456,0.0,23.6909,23.69
312837,456,1,456,0.0,23.6909,23.69
318063,247,1,247,0.0,23.68,23.68
312851,476,1,476,0.0,23.6816,23.68
317845,476,1,476,0.0,23.6816,23.68
313053,247,1,247,0.0,23.68,23.68
313088,268,1,268,0.0,23.5656,23.57
318101,268,1,268,0.0,23.5656,23.57
318201,267,1,267,0.0,23.5421,23.54
313189,267,1,267,0.0,23.5421,23.54
317452,400,1,400,0.0,23.517,23.52
312450,400,1,400,0.0,23.517,23.52
318140,325,1,325,0.0,23.3378,23.34
313130,325,1,325,0.0,23.3378,23.34
313190,260,1,260,0.0,23.1402,23.14
318200,260,1,260,0.0,23.1402,23.14
313329,310,1,310,0.0,23.0508,23.05
318337,310,1,310,0.0,23.0508,23.05
313188,244,1,244,0.0,22.9922,22.99
317942,307,1,307,0.0,22.9898,22.99
312945,307,1,307,0.0,22.9898,22.99
318197,244,1,244,0.0,22.9922,22.99
317904,260,1,260,0.0,22.7521,22.75
312904,260,1,260,0.0,22.7521,22.75
312939,306,1,306,0.0,22.5228,22.52
317948,306,1,306,0.0,22.5228,22.52
317359,348,1,348,0.0,22.3809,22.38
317358,347,1,347,0.0,22.2968,22.3
313097,280,1,280,0.0,22.2925,22.29
318202,399,1,399,0.0,22.2892,22.29
318103,280,1,280,0.0,22.2925,22.29
313191,399,1,399,0.0,22.2892,22.29
318138,268,1,268,0.0,22.279,22.28
313125,268,1,268,0.0,22.279,22.28
318139,301,1,301,0.0,22.2389,22.24
313203,389,1,389,0.0,22.2368,22.24
318212,389,1,389,0.0,22.2368,22.24
313131,301,1,301,0.0,22.2389,22.24
312886,362,1,362,0.0,22.2281,22.23
317886,362,1,362,0.0,22.2281,22.23
318333,371,1,371,0.0,22.1962,22.2
313321,371,1,371,0.0,22.1962,22.2
312507,390,1,390,0.0,22.185,22.19
317503,390,1,390,0.0,22.185,22.19
317906,248,1,248,0.0,22.0964,22.1
312907,248,1,248,0.0,22.0964,22.1
313192,407,1,407,0.0,22.0532,22.05
318203,407,1,407,0.0,22.0532,22.05
