service_date,collection_timestamp,api_vehicle_timestamp,route_id,direction_id,shape_id,vehicle_id,trip_id,bus_rank,approx_shape_dist_traveled,next_vehicle_id,next_shape_dist,distance_to_next_bus_km,latitude,longitude,next_latitude,next_longitude,projection_error_m
2026-05-23 00:00:00,2026-05-23 00:02:44.256903-07,2026-05-23 00:02:26-07,6641,1,312530,19022,14925840,3,5.5394,24001,13.5001,7.9607,49.26371765136719,-123.13998413085938,49.266517639160156,-123.24503326416016,54.46953824946442
2026-05-23 00:00:00,2026-05-23 00:03:14.777164-07,2026-05-23 00:02:28-07,6641,0,312527,19009,14925613,1,0.1448,23013,8.3261,8.1813,49.26755142211914,-123.24674987792969,49.26348114013672,-123.13829803466797,12.057325543400145
2026-05-23 00:00:00,2026-05-23 00:03:14.777164-07,2026-05-23 00:02:47-07,6641,1,312530,19044,14925842,1,0.3869,19020,1.6033,1.2164,49.26318359375,-123.06843566894531,49.262451171875,-123.08438110351562,91.52858516342158
2026-05-23 00:00:00,2026-05-23 00:03:14.777164-07,2026-05-23 00:02:32-07,6641,1,312530,19020,14925841,2,1.6033,19022,5.6682,4.0649,49.262451171875,-123.08438110351562,49.26371765136719,-123.14044952392578,64.14242636235248
2026-05-23 00:00:00,2026-05-23 00:03:14.777164-07,2026-05-23 00:02:41-07,6641,1,312530,19022,14925840,3,5.6682,24001,13.7165,8.0483,49.26371765136719,-123.14044952392578,49.26803207397461,-123.24690246582031,43.38984919405526
2026-05-23 00:00:00,2026-05-23 00:03:45.285942-07,2026-05-23 00:02:58-07,6641,0,312527,19009,14925613,1,0.294,23013,8.5062,8.2122,49.266632080078125,-123.24573516845703,49.26348114013672,-123.13491821289062,26.402348114131094
2026-05-23 00:00:00,2026-05-23 00:03:45.285942-07,2026-05-23 00:03:18-07,6641,1,312530,19044,14925842,1,0.3403,19020,1.7432,1.4029,49.26286697387695,-123.0677490234375,49.262481689453125,-123.08685302734375,57.95799478552023
2026-05-23 00:00:00,2026-05-23 00:03:45.285942-07,2026-05-23 00:03:03-07,6641,1,312530,19020,14925841,2,1.7432,19022,5.6682,3.925,49.262481689453125,-123.08685302734375,49.26371765136719,-123.14073181152344,24.269634101888634
2026-05-23 00:00:00,2026-05-23 00:03:45.285942-07,2026-05-23 00:03:11-07,6641,1,312530,19022,14925840,3,5.6682,24001,13.8943,8.2261,49.26371765136719,-123.14073181152344,49.268531799316406,-123.24810028076172,24.259970918221022
2026-05-23 00:00:00,2026-05-23 00:04:15.946648-07,2026-05-23 00:03:47-07,6641,0,312527,19009,14925613,1,0.697,23013,8.85,8.153,49.26694869995117,-123.24066925048828,49.263450622558594,-123.1305160522461,25.304189352391564
2026-05-23 00:00:00,2026-05-23 00:04:15.946648-07,2026-05-23 00:03:36-07,6641,1,312530,19044,14925842,1,0.3403,19020,1.885,1.5447,49.26286697387695,-123.0677490234375,49.262550354003906,-123.08888244628906,57.95799478552023
2026-05-23 00:00:00,2026-05-23 00:04:15.946648-07,2026-05-23 00:03:34-07,6641,1,312530,19020,14925841,2,1.885,19022,5.8421,3.9571,49.262550354003906,-123.08888244628906,49.26373291015625,-123.1436996459961,19.840205967403485
