route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
37810,R4,41st Avenue,RapidBus,0,313452,1.0,13,1,3,9,0.309,0.37,0.085,8,13
6619,009,Broadway,Regular Bus,1,312305,2.0,13,0,3,10,0.347,0.363,0.123,1,13
37810,R4,41st Avenue,RapidBus,1,313453,16.5,13,6,1,6,0.232,0.213,0.017,6,11
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,11.5,13,0,1,12,0.35,0.361,0.114,5,13
6641,099,Broadway B-Line,B-Line,1,312530,1.5,13,0,7,6,0.242,0.142,0.139,5,13
6641,099,Broadway B-Line,B-Line,1,312530,10.5,13,0,5,8,0.355,0.421,0.219,6,13
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,7.0,13,0,3,10,0.332,0.332,0.169,5,13
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,3.0,13,4,8,1,0.157,0.154,0.067,3,9
6636,049,49th Avenue,Regular Bus,0,312498,18.0,13,0,0,13,0.346,0.332,0.291,4,13
6624,019,Kingsway,Regular Bus,0,312403,8.5,13,3,5,5,0.232,0.22,0.078,3,13
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,1,312991,12.0,13,2,3,8,0.268,0.3,0.062,5,13
6627,025,King Edward,Regular Bus,0,312450,16.5,13,10,0,3,0.101,0.034,0.034,1,13
6641,099,Broadway B-Line,B-Line,0,312527,6.5,13,0,8,5,0.237,0.173,0.171,7,13
6641,099,Broadway B-Line,B-Line,1,312530,5.5,13,0,6,7,0.252,0.344,0.129,4,13
6625,020,Victoria,Regular Bus,1,312428,2.0,13,0,9,4,0.191,0.162,0.106,2,13
6636,049,49th Avenue,Regular Bus,0,312498,16.0,13,0,4,9,0.362,0.406,0.235,5,13
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,7.5,13,0,10,3,0.214,0.174,0.172,3,12
6625,020,Victoria,Regular Bus,1,312428,11.0,13,2,9,2,0.186,0.208,0.028,2,13
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,15.0,13,0,3,10,0.276,0.277,0.101,4,12
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,14.5,12,1,6,5,0.266,0.237,0.094,4,12
6627,025,King Edward,Regular Bus,1,312455,8.0,12,0,1,11,0.348,0.354,0.178,4,12
6636,049,49th Avenue,Regular Bus,0,312498,14.5,12,0,7,5,0.264,0.228,0.198,6,12
6624,019,Kingsway,Regular Bus,0,312405,1.5,12,0,9,3,0.184,0.126,0.117,3,11
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,6.5,12,1,2,9,0.303,0.342,0.049,7,12
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,4.5,12,4,3,5,0.231,0.214,0.099,4,9
6624,019,Kingsway,Regular Bus,0,312403,12.0,12,0,2,10,0.312,0.327,0.131,2,12
6627,025,King Edward,Regular Bus,0,312450,15.0,12,1,4,7,0.307,0.363,0.06,2,12
6624,019,Kingsway,Regular Bus,0,312403,12.5,12,3,4,5,0.249,0.214,0.051,3,12
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,6.0,12,2,3,7,0.286,0.306,0.007,4,12
6641,099,Broadway B-Line,B-Line,1,312530,1.0,12,0,6,6,0.272,0.247,0.141,5,12
6627,025,King Edward,Regular Bus,1,312455,12.0,12,5,3,4,0.191,0.168,0.015,5,12
6705,321,King George Blvd,Regular Bus,0,312945,21.0,12,2,5,5,0.224,0.207,0.074,5,12
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,0,314717,5.5,12,1,3,8,0.277,0.266,0.049,2,12
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,8.0,12,1,10,1,0.184,0.174,0.032,3,9
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,5.5,12,1,3,8,0.319,0.362,0.053,3,12
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,5.0,12,1,8,3,0.18,0.142,0.099,3,8
37810,R4,41st Avenue,RapidBus,1,313453,12.0,12,2,6,4,0.183,0.105,0.05,6,11
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,1,312991,13.0,12,2,5,5,0.264,0.245,0.013,3,12
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,10.0,12,4,2,6,0.236,0.223,0.015,2,8
6624,019,Kingsway,Regular Bus,1,312413,4.5,12,1,2,9,0.273,0.302,0.043,3,12
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,16.5,12,1,1,10,0.327,0.334,0.053,5,12
6624,019,Kingsway,Regular Bus,1,312413,0.5,12,6,4,2,0.153,0.114,0.038,6,12
6624,019,Kingsway,Regular Bus,1,312413,7.0,12,2,4,6,0.26,0.26,0.045,4,12
6627,025,King Edward,Regular Bus,1,312455,7.5,12,0,6,6,0.314,0.283,0.189,2,12
6624,019,Kingsway,Regular Bus,1,312414,2.5,12,5,1,6,0.209,0.206,0.025,2,12
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,9.0,12,0,8,4,0.254,0.181,0.163,3,12
6627,025,King Edward,Regular Bus,0,312450,16.0,11,3,4,4,0.21,0.191,0.006,2,11
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,8.5,11,3,5,3,0.214,0.244,0.007,4,8
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,7.5,11,0,7,4,0.213,0.143,0.127,2,9
6624,019,Kingsway,Regular Bus,0,312403,1.0,11,2,3,6,0.27,0.355,0.0,3,11
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,13.5,11,0,8,3,0.201,0.158,0.111,5,9
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,16.0,11,5,3,3,0.192,0.199,0.027,3,11
6627,025,King Edward,Regular Bus,0,312450,17.0,11,0,3,8,0.386,0.456,0.191,5,11
6625,020,Victoria,Regular Bus,0,312419,9.5,11,0,3,8,0.339,0.312,0.16,2,11
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,6.0,11,0,10,1,0.189,0.172,0.172,2,8
6641,099,Broadway B-Line,B-Line,0,312527,5.0,11,2,3,6,0.238,0.288,0.0,4,11
6705,321,King George Blvd,Regular Bus,0,312945,21.5,11,0,6,5,0.282,0.237,0.13,6,11
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,7.0,11,0,7,4,0.234,0.172,0.171,3,9
6625,020,Victoria,Regular Bus,0,312419,10.0,11,1,3,7,0.268,0.252,0.059,2,11
6625,020,Victoria,Regular Bus,1,312428,7.5,11,4,1,6,0.231,0.263,0.0,3,11
6625,020,Victoria,Regular Bus,1,312428,6.0,11,0,4,7,0.282,0.302,0.149,3,11
6619,009,Broadway,Regular Bus,0,312285,5.0,11,0,6,5,0.246,0.248,0.107,3,11
6625,020,Victoria,Regular Bus,1,312428,9.0,11,5,3,3,0.187,0.122,0.064,2,11
6636,049,49th Avenue,Regular Bus,0,312498,17.0,11,0,7,4,0.265,0.224,0.11,5,11
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,18.5,11,0,2,9,0.327,0.356,0.1,5,11
37810,R4,41st Avenue,RapidBus,0,313452,13.0,11,0,4,7,0.296,0.3,0.16,6,11
6625,020,Victoria,Regular Bus,1,312428,9.5,10,2,6,2,0.146,0.125,0.046,2,10
6627,025,King Edward,Regular Bus,1,312455,11.0,10,1,6,3,0.265,0.216,0.026,2,10
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,12.0,10,1,6,3,0.235,0.206,0.1,3,10
6619,009,Broadway,Regular Bus,0,312285,5.5,10,0,3,7,0.291,0.282,0.193,2,10
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,6.5,10,0,0,10,0.32,0.307,0.272,3,8
37810,R4,41st Avenue,RapidBus,1,313453,8.5,10,2,4,4,0.21,0.182,0.053,6,10
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,11.5,10,2,3,5,0.252,0.236,0.044,4,10
6624,019,Kingsway,Regular Bus,1,312414,2.0,10,3,6,1,0.137,0.148,0.0,2,10
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,4.5,10,0,5,5,0.29,0.291,0.192,3,9
6619,009,Broadway,Regular Bus,1,312305,8.5,10,0,8,2,0.206,0.172,0.171,3,10
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,7.5,10,1,1,8,0.313,0.315,0.068,4,10
6705,321,King George Blvd,Regular Bus,0,312945,20.5,10,2,1,7,0.308,0.376,0.046,5,10
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,8.0,10,0,2,8,0.311,0.269,0.214,3,10
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,12.0,10,0,3,7,0.275,0.288,0.141,5,8
6619,009,Broadway,Regular Bus,0,312285,2.5,10,0,4,6,0.29,0.344,0.174,2,10
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,5.0,10,1,4,5,0.269,0.243,0.046,4,7
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,0,314717,15.5,10,1,4,5,0.238,0.245,0.089,3,10
6636,049,49th Avenue,Regular Bus,0,312498,13.0,10,4,4,2,0.145,0.11,0.047,4,10
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,14.5,10,3,5,2,0.146,0.122,0.0,4,9
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,2.5,10,2,3,5,0.208,0.215,0.055,3,10
37810,R4,41st Avenue,RapidBus,1,313453,17.5,10,1,4,5,0.257,0.264,0.006,6,10
6627,025,King Edward,Regular Bus,1,312455,4.5,10,2,7,1,0.151,0.166,0.051,3,10
6624,019,Kingsway,Regular Bus,1,312413,6.0,10,5,1,4,0.183,0.103,0.017,4,10
6641,099,Broadway B-Line,B-Line,1,312530,7.0,10,0,0,10,0.349,0.346,0.256,4,10
6627,025,King Edward,Regular Bus,0,312450,15.5,9,1,6,2,0.208,0.177,0.0,1,9
6624,019,Kingsway,Regular Bus,1,312413,4.0,9,1,3,5,0.229,0.254,0.079,2,9
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,18.5,9,2,0,7,0.258,0.317,0.066,4,9
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,16.5,9,0,2,7,0.312,0.301,0.101,6,9
6625,020,Victoria,Regular Bus,1,312428,4.5,9,0,6,3,0.214,0.205,0.101,2,9
37810,R4,41st Avenue,RapidBus,1,313453,7.5,9,2,2,5,0.27,0.394,0.052,7,9
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,3.0,9,0,3,6,0.27,0.304,0.11,2,9
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,15.5,9,3,3,3,0.195,0.171,0.048,2,9
6625,020,Victoria,Regular Bus,1,312428,5.5,9,3,2,4,0.226,0.199,0.085,2,9
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2.0,9,1,3,5,0.234,0.251,0.098,4,8
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,0,314717,17.5,9,2,2,5,0.226,0.307,0.039,3,9
6627,025,King Edward,Regular Bus,1,312455,9.0,9,3,3,3,0.209,0.205,0.044,3,9
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2.5,9,5,3,1,0.145,0.099,0.044,3,6
6625,020,Victoria,Regular Bus,1,312428,8.5,9,0,0,9,0.343,0.332,0.258,2,9
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,10.5,9,0,3,6,0.26,0.272,0.132,4,8
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,5.0,9,0,1,8,0.351,0.344,0.141,4,9
37810,R4,41st Avenue,RapidBus,1,313453,18.0,9,2,5,2,0.169,0.178,0.007,7,8
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,12.5,9,1,3,5,0.272,0.287,0.0,4,9
6625,020,Victoria,Regular Bus,1,312427,6.0,9,2,6,1,0.167,0.138,0.046,2,9
37807,R5,Hastings St,RapidBus,1,313460,16.0,9,3,6,0,0.106,0.103,0.059,2,9
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,3.5,9,3,3,3,0.19,0.187,0.049,3,7
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,13.0,9,2,3,4,0.287,0.222,0.058,6,9
37810,R4,41st Avenue,RapidBus,0,313452,2.0,8,1,3,4,0.261,0.241,0.029,8,8
6624,019,Kingsway,Regular Bus,1,312413,7.5,8,0,5,3,0.245,0.216,0.131,5,8
37810,R4,41st Avenue,RapidBus,0,313452,14.5,8,2,2,4,0.246,0.241,0.037,5,8
6625,020,Victoria,Regular Bus,1,312428,1.5,8,0,4,4,0.301,0.295,0.182,2,8
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,10.0,8,0,5,3,0.236,0.172,0.171,3,7
6624,019,Kingsway,Regular Bus,0,312403,7.0,8,3,1,4,0.196,0.218,0.038,2,8
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,3.5,8,2,4,2,0.18,0.182,0.019,2,8
6625,020,Victoria,Regular Bus,1,312428,2.5,8,0,5,3,0.212,0.16,0.127,1,8
37810,R4,41st Avenue,RapidBus,0,313452,6.5,8,2,1,5,0.25,0.319,0.023,7,8
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,4.0,8,3,3,2,0.152,0.139,0.013,3,6
6625,020,Victoria,Regular Bus,0,312419,1.0,8,1,1,6,0.359,0.396,0.079,3,8
6636,049,49th Avenue,Regular Bus,0,312498,11.5,8,1,3,4,0.252,0.213,0.081,5,8
6624,019,Kingsway,Regular Bus,1,312413,12.5,8,2,1,5,0.303,0.404,0.051,3,8
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,17.5,8,1,5,2,0.178,0.185,0.054,4,8
6624,019,Kingsway,Regular Bus,0,312403,6.5,8,0,4,4,0.271,0.252,0.111,3,8
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,17.0,8,6,1,1,0.121,0.093,0.022,4,8
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,1,312991,17.0,8,0,4,4,0.298,0.258,0.193,2,8
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,15.5,8,2,0,6,0.249,0.284,0.018,4,8
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2.0,8,2,3,3,0.22,0.211,0.0,3,6
6624,019,Kingsway,Regular Bus,0,312405,1.0,8,0,0,8,0.335,0.335,0.255,2,8
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,0,314717,5.0,8,1,5,2,0.188,0.198,0.039,2,8
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,15.5,8,1,3,4,0.205,0.213,0.0,4,7
6642,100,Marine Drive,Regular Bus,0,312532,8.5,8,4,0,4,0.232,0.202,0.023,4,8
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,1.5,8,1,4,3,0.194,0.142,0.0,3,6
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,13.5,8,2,4,2,0.158,0.149,0.0,4,6
6619,009,Broadway,Regular Bus,1,312305,1.5,8,3,0,5,0.256,0.326,0.068,3,8
6625,020,Victoria,Regular Bus,0,312419,2.0,8,4,1,3,0.235,0.172,0.012,2,8
6625,020,Victoria,Regular Bus,1,312428,5.0,8,2,4,2,0.187,0.201,0.1,2,8
6641,099,Broadway B-Line,B-Line,0,312527,2.5,8,0,1,7,0.391,0.436,0.236,3,8
6624,019,Kingsway,Regular Bus,0,312403,10.5,8,0,0,8,0.389,0.411,0.329,2,8
6642,100,Marine Drive,Regular Bus,1,312538,11.0,7,1,1,5,0.266,0.305,0.072,2,7
6624,019,Kingsway,Regular Bus,0,312403,4.5,7,2,3,2,0.179,0.197,0.016,2,7
6624,019,Kingsway,Regular Bus,0,312403,7.5,7,1,3,3,0.239,0.172,0.045,4,7
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,14.0,7,0,4,3,0.251,0.22,0.11,3,6
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,16.0,7,2,1,4,0.248,0.286,0.054,4,7
6705,321,King George Blvd,Regular Bus,1,312952,19.0,7,2,1,4,0.259,0.371,0.008,3,7
6625,020,Victoria,Regular Bus,0,312419,4.0,7,1,3,3,0.248,0.14,0.072,2,7
6624,019,Kingsway,Regular Bus,1,312412,12.0,7,0,4,3,0.216,0.203,0.149,1,7
6619,009,Broadway,Regular Bus,1,312305,7.5,7,0,0,7,0.344,0.344,0.344,3,7
6627,025,King Edward,Regular Bus,1,312455,16.0,7,0,2,5,0.263,0.311,0.106,3,7
6624,019,Kingsway,Regular Bus,0,312403,13.5,7,1,6,0,0.153,0.203,0.0,4,7
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,19.0,7,1,5,1,0.173,0.147,0.072,4,7
6614,004,Powell/UBC Exchange,Regular Bus,0,312234,9.0,7,0,0,7,0.359,0.365,0.25,1,7
6624,019,Kingsway,Regular Bus,0,312403,13.0,7,1,5,1,0.202,0.201,0.04,4,7
6627,025,King Edward,Regular Bus,0,312450,9.5,7,4,1,2,0.169,0.052,0.052,1,7
6636,049,49th Avenue,Regular Bus,0,312498,19.0,7,1,4,2,0.201,0.147,0.089,4,7
6705,321,King George Blvd,Regular Bus,1,312952,20.0,7,2,5,0,0.16,0.183,0.025,2,7
6627,025,King Edward,Regular Bus,0,312450,13.0,7,2,3,2,0.198,0.123,0.079,1,7
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,6.0,7,0,2,5,0.328,0.403,0.141,3,6
6627,025,King Edward,Regular Bus,1,312455,22.0,7,0,2,5,0.362,0.378,0.134,6,7
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,11.5,7,0,0,7,0.393,0.433,0.282,3,7
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,2.5,7,0,3,4,0.229,0.254,0.108,2,7
6625,020,Victoria,Regular Bus,1,312428,1.0,7,0,0,7,0.34,0.352,0.252,1,7
6642,100,Marine Drive,Regular Bus,0,312532,12.0,7,1,1,5,0.251,0.259,0.096,2,6
6625,020,Victoria,Regular Bus,0,312419,1.5,7,0,4,3,0.306,0.228,0.126,3,7
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,4.5,7,1,0,6,0.34,0.356,0.088,3,7
6636,049,49th Avenue,Regular Bus,0,312498,8.5,7,0,3,4,0.246,0.26,0.11,3,7
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,318514,4.5,7,1,3,3,0.238,0.211,0.0,2,7
6624,019,Kingsway,Regular Bus,0,312405,2.0,7,1,3,3,0.264,0.236,0.076,4,7
6728,410,Brighouse Station/22nd St Station,Regular Bus,1,313131,18.5,7,0,0,7,0.393,0.386,0.27,3,7
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,16.0,7,0,2,5,0.317,0.301,0.158,4,7
6625,020,Victoria,Regular Bus,0,312419,3.5,7,1,6,0,0.194,0.23,0.05,2,7
37810,R4,41st Avenue,RapidBus,0,313452,7.5,7,1,1,5,0.378,0.482,0.0,6,7
6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,0,312666,15.0,7,2,4,1,0.179,0.181,0.02,2,7
6641,099,Broadway B-Line,B-Line,1,312530,9.0,7,0,3,4,0.288,0.351,0.14,4,7
37810,R4,41st Avenue,RapidBus,1,313453,1.5,7,1,1,5,0.329,0.38,0.043,5,7
6642,100,Marine Drive,Regular Bus,0,312532,5.5,7,0,0,7,0.305,0.324,0.279,2,7
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,1.5,7,1,4,2,0.205,0.158,0.074,3,7
6705,321,King George Blvd,Regular Bus,0,312945,19.0,7,4,1,2,0.128,0.049,0.012,3,7
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,8.0,7,0,2,5,0.333,0.315,0.213,3,7
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,1.0,7,0,3,4,0.286,0.274,0.177,3,7
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,10.5,7,0,4,3,0.244,0.172,0.171,2,7
6625,020,Victoria,Regular Bus,1,312428,3.5,7,1,4,2,0.194,0.217,0.07,1,7
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,2.5,7,0,3,4,0.252,0.265,0.103,2,5
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,8.5,7,0,0,7,0.418,0.452,0.26,4,5
6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,1,312669,10.5,7,0,1,6,0.377,0.408,0.24,2,7
6636,049,49th Avenue,Regular Bus,1,312507,5.0,7,0,2,5,0.337,0.372,0.234,3,7
37810,R4,41st Avenue,RapidBus,1,313453,10.0,7,0,1,6,0.362,0.413,0.122,5,7
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,16.0,7,1,2,4,0.286,0.341,0.035,3,7
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,4.0,7,0,0,7,0.318,0.291,0.277,2,7
6641,099,Broadway B-Line,B-Line,1,312530,0.5,7,4,0,3,0.227,0.083,0.055,6,7
6642,100,Marine Drive,Regular Bus,1,312538,7.0,6,3,1,2,0.178,0.098,0.039,3,6
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,0.5,6,1,5,0,0.16,0.156,0.042,2,6
6627,025,King Edward,Regular Bus,1,312455,10.5,6,0,2,4,0.274,0.35,0.112,2,6
6624,019,Kingsway,Regular Bus,1,312413,3.5,6,0,3,3,0.213,0.206,0.117,1,6
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,0.5,6,0,4,2,0.263,0.205,0.149,2,6
6625,020,Victoria,Regular Bus,1,312428,4.0,6,2,3,1,0.153,0.158,0.057,1,6
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,2.0,6,0,0,6,0.327,0.311,0.305,2,6
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,5.5,6,1,1,4,0.295,0.353,0.0,2,5
37810,R4,41st Avenue,RapidBus,0,313452,6.0,6,0,1,5,0.345,0.357,0.204,4,6
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,1,312991,12.5,6,0,0,6,0.403,0.401,0.401,3,6
37810,R4,41st Avenue,RapidBus,0,313452,0.5,6,0,4,2,0.244,0.168,0.148,4,6
6624,019,Kingsway,Regular Bus,1,312414,1.0,6,0,2,4,0.328,0.33,0.201,1,6
6705,321,King George Blvd,Regular Bus,0,312945,17.5,6,1,2,3,0.24,0.243,0.092,3,6
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,1,312991,14.0,6,0,2,4,0.258,0.281,0.103,2,6
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,4.5,6,0,2,4,0.275,0.282,0.141,3,5
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,1,312991,16.5,6,0,4,2,0.252,0.226,0.158,4,6
16718,014,Hastings/UBC Exchange,Regular Bus,1,312348,1.5,6,1,0,5,0.288,0.299,0.0,3,6
6627,025,King Edward,Regular Bus,1,312455,17.5,6,0,3,3,0.284,0.3,0.101,3,6
6619,009,Broadway,Regular Bus,0,312285,6.5,6,0,1,5,0.344,0.352,0.139,2,6
6627,025,King Edward,Regular Bus,1,312455,15.5,6,1,0,5,0.367,0.443,0.0,4,6
6627,025,King Edward,Regular Bus,0,312450,18.5,6,0,3,3,0.242,0.243,0.109,2,6
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,0,314717,1.0,6,0,2,4,0.34,0.397,0.171,2,6
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,0.5,6,2,3,1,0.154,0.138,0.057,2,6
6624,019,Kingsway,Regular Bus,0,312405,4.0,6,0,0,6,0.428,0.413,0.402,1,6
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,15.5,6,2,1,3,0.263,0.288,0.044,3,6
6738,502,Fraser Hwy,Express / Regional,0,317228,5.5,6,1,0,5,0.282,0.293,0.048,1,6
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,14.5,6,0,1,5,0.345,0.383,0.149,3,6
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,18.0,6,2,0,4,0.266,0.325,0.063,5,6
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,12.0,6,0,5,1,0.202,0.176,0.17,3,6
6625,020,Victoria,Regular Bus,0,312419,7.5,6,0,0,6,0.382,0.372,0.257,2,6
6705,321,King George Blvd,Regular Bus,0,312945,16.5,6,0,2,4,0.322,0.354,0.104,2,6
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,11.0,6,0,0,6,0.4,0.385,0.289,4,6
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,12.0,6,1,4,1,0.169,0.149,0.0,3,6
6636,049,49th Avenue,Regular Bus,1,312507,13.5,6,0,1,5,0.352,0.345,0.239,2,6
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,4.0,6,0,2,4,0.345,0.36,0.22,4,6
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,1,312991,16.0,6,0,1,5,0.343,0.344,0.17,4,6
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,6.5,6,0,2,4,0.25,0.278,0.108,2,5
6619,009,Broadway,Regular Bus,1,312305,3.0,5,3,1,1,0.133,0.034,0.034,1,5
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,17.0,5,0,0,5,0.378,0.378,0.378,4,5
6705,321,King George Blvd,Regular Bus,1,312952,5.0,5,1,1,3,0.283,0.341,0.031,1,5
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,8.5,5,0,1,4,0.366,0.372,0.223,2,5
6642,100,Marine Drive,Regular Bus,1,312538,12.5,5,0,2,3,0.306,0.293,0.209,1,5
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,13.0,5,1,2,2,0.252,0.231,0.085,4,4
6642,100,Marine Drive,Regular Bus,1,312538,12.0,5,1,1,3,0.275,0.371,0.001,1,5
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,6.5,5,0,1,4,0.302,0.344,0.174,3,5
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,14.0,5,0,1,4,0.375,0.424,0.134,3,5
37810,R4,41st Avenue,RapidBus,1,313453,14.5,5,2,1,2,0.219,0.223,0.0,5,5
37807,R5,Hastings St,RapidBus,0,313454,7.5,5,0,4,1,0.201,0.171,0.154,3,5
6705,321,King George Blvd,Regular Bus,0,312945,1.5,5,0,1,4,0.305,0.32,0.195,2,5
6636,049,49th Avenue,Regular Bus,0,312498,20.0,5,4,1,0,0.087,0.071,0.02,3,5
6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,0,312666,20.5,5,2,3,0,0.108,0.105,0.072,2,5
6642,100,Marine Drive,Regular Bus,0,312532,7.0,5,1,0,4,0.303,0.381,0.074,2,5
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,16.0,5,2,1,2,0.192,0.107,0.051,4,5
6641,099,Broadway B-Line,B-Line,0,312527,4.0,5,0,3,2,0.296,0.221,0.22,5,5
6627,025,King Edward,Regular Bus,1,312455,17.0,5,1,1,3,0.251,0.318,0.047,2,5
6619,009,Broadway,Regular Bus,1,312305,7.0,5,0,1,4,0.336,0.35,0.178,1,5
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,16.5,5,1,2,2,0.208,0.192,0.045,2,5
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,16.5,5,4,1,0,0.052,0.028,0.001,3,3
6614,004,Powell/UBC Exchange,Regular Bus,0,312234,3.0,5,0,0,5,0.382,0.429,0.282,1,5
6627,025,King Edward,Regular Bus,0,312450,12.0,5,2,2,1,0.152,0.161,0.043,1,5
6636,049,49th Avenue,Regular Bus,0,312498,11.0,5,1,1,3,0.258,0.264,0.055,2,5
