route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,11.0,31,0,14,17,0.278,0.337,0.163,5,23
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,13.0,30,2,10,18,0.278,0.348,0.052,4,30
6624,019,Kingsway,Regular Bus,1,312414,4.5,30,0,9,21,0.274,0.255,0.126,3,30
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,7.0,29,0,13,16,0.266,0.343,0.171,6,24
37810,R4,41st Avenue,RapidBus,0,313452,8.0,29,4,13,12,0.257,0.205,0.071,11,27
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,9.5,29,0,6,23,0.343,0.332,0.163,5,28
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,6.5,29,0,18,11,0.26,0.174,0.163,4,22
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,15.0,28,16,4,8,0.193,0.095,0.047,4,28
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,4.0,28,3,5,20,0.313,0.297,0.0,7,26
6705,321,King George Blvd,Regular Bus,1,312952,7.0,28,3,16,9,0.255,0.233,0.032,7,28
37810,R4,41st Avenue,RapidBus,0,313452,7.0,28,10,5,13,0.225,0.219,0.014,12,28
6624,019,Kingsway,Regular Bus,1,312413,10.5,28,4,18,6,0.188,0.197,0.003,7,28
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,11.5,28,7,9,12,0.192,0.16,0.05,3,26
6641,099,Broadway B-Line,B-Line,1,312530,3.0,28,1,2,25,0.412,0.478,0.0,12,28
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,12.0,27,0,8,19,0.305,0.287,0.127,6,27
37810,R4,41st Avenue,RapidBus,0,313452,10.5,27,5,8,14,0.24,0.25,0.058,10,27
6624,019,Kingsway,Regular Bus,1,312414,3.0,27,1,16,10,0.235,0.203,0.097,3,27
6636,049,49th Avenue,Regular Bus,0,312498,12.0,27,8,2,17,0.23,0.311,0.0,6,27
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,16.5,27,0,19,8,0.25,0.195,0.191,10,27
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,10.5,27,2,9,16,0.254,0.28,0.053,4,20
6627,025,King Edward,Regular Bus,1,312455,6.0,27,4,0,23,0.382,0.412,0.043,5,27
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,9.5,27,0,12,15,0.271,0.346,0.14,6,27
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,9.5,27,2,18,7,0.186,0.181,0.046,5,26
37810,R4,41st Avenue,RapidBus,1,313453,3.5,27,12,4,11,0.224,0.198,0.099,9,26
37810,R4,41st Avenue,RapidBus,0,313452,17.0,26,2,6,18,0.332,0.356,0.065,10,26
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,16.5,26,6,8,12,0.24,0.239,0.036,7,24
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,13.5,26,0,9,17,0.305,0.31,0.129,6,25
6624,019,Kingsway,Regular Bus,1,312413,11.5,26,4,8,14,0.283,0.297,0.066,7,24
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,12.5,26,1,16,9,0.255,0.232,0.067,6,26
6627,025,King Edward,Regular Bus,1,312455,5.5,26,2,9,15,0.334,0.443,0.009,9,26
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,16.0,26,1,13,12,0.275,0.237,0.094,6,26
37810,R4,41st Avenue,RapidBus,0,313452,15.5,25,1,3,21,0.352,0.385,0.0,10,25
37810,R4,41st Avenue,RapidBus,1,313453,1.0,25,0,9,16,0.273,0.31,0.103,8,25
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,10.0,25,7,6,12,0.213,0.198,0.014,2,18
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,4.5,25,5,8,12,0.239,0.187,0.0,4,22
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,11.5,25,3,11,11,0.245,0.21,0.053,5,23
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,8.0,25,1,7,17,0.28,0.297,0.042,4,24
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,13.5,25,0,10,15,0.284,0.271,0.108,7,25
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,6.0,25,0,12,13,0.263,0.262,0.102,4,21
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,10.0,25,3,17,5,0.178,0.181,0.046,4,18
