route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km,eligible_days
23384,503,Fraser Hwy Express,1,318186,147,421,36.57,5
23384,503,Fraser Hwy Express,1,313175,147,421,36.57,5
23384,503,Fraser Hwy Express,1,318188,114,218,17.96,5
23384,503,Fraser Hwy Express,1,313173,111,218,17.96,5
23384,503,Fraser Hwy Express,1,318187,5,205,18.71,5
23384,503,Fraser Hwy Express,1,313174,5,205,18.71,5
23384,503,Fraser Hwy Express,1,318185,1,241,19.73,5
23384,503,Fraser Hwy Express,1,313177,1,28,2.19,5
23384,503,Fraser Hwy Express,1,318184,1,28,2.19,5
23384,503,Fraser Hwy Express,1,313176,1,241,19.73,5
29038,342,Langley Centre/Newton Exchange,0,313008,134,183,20.85,5
29038,342,Langley Centre/Newton Exchange,0,318016,134,183,20.85,5
29038,342,Langley Centre/Newton Exchange,0,313007,12,180,20.64,5
29038,342,Langley Centre/Newton Exchange,0,318017,12,180,20.64,5
29038,342,Langley Centre/Newton Exchange,1,314721,131,249,21.74,5
29038,342,Langley Centre/Newton Exchange,1,318018,130,249,21.74,5
29038,342,Langley Centre/Newton Exchange,1,318019,13,243,21.35,5
29038,342,Langley Centre/Newton Exchange,1,313009,12,243,21.35,5
30036,170,Port Coquitlam Station/Port Coquitlam South,0,317672,125,88,4.21,5
30036,170,Port Coquitlam Station/Port Coquitlam South,0,312672,125,88,4.21,5
30036,170,Port Coquitlam Station/Port Coquitlam South,1,312674,122,80,4.07,5
30036,170,Port Coquitlam Station/Port Coquitlam South,1,317674,122,80,4.07,5
30036,170,Port Coquitlam Station/Port Coquitlam South,1,312673,2,91,4.83,5
30036,170,Port Coquitlam Station/Port Coquitlam South,1,317675,2,91,4.83,5
30036,170,Port Coquitlam Station/Port Coquitlam South,1,317673,1,72,3.43,5
30036,170,Port Coquitlam Station/Port Coquitlam South,1,312675,1,72,3.43,5
30037,171,Coquitlam Central Station/Fremont,0,317676,103,110,6.86,5
30037,171,Coquitlam Central Station/Fremont,0,312676,103,110,6.86,5
30037,171,Coquitlam Central Station/Fremont,1,317677,109,133,6.56,5
30037,171,Coquitlam Central Station/Fremont,1,312677,108,133,6.56,5
30038,172,Coquitlam Central Station/Riverside,0,312679,108,195,10.74,5
30038,172,Coquitlam Central Station/Riverside,0,317678,108,195,10.74,5
30038,172,Coquitlam Central Station/Riverside,0,312678,1,182,9.17,5
30038,172,Coquitlam Central Station/Riverside,0,317679,1,182,9.17,5
30038,172,Coquitlam Central Station/Riverside,1,312680,103,200,10.65,5
30038,172,Coquitlam Central Station/Riverside,1,317680,103,200,10.65,5
