service_date,route_id,route_short_name,route_long_name,route_type,hour_of_day,peak_period,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,17,PM Peak,106,24,30,52,0.247,0.236
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,18,PM Peak,44,2,16,26,0.283,0.275
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,19,Off Peak,17,0,4,13,0.354,0.386
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,20,Off Peak,4,1,0,3,0.265,0.323
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,0,Off Peak,4,1,2,1,0.203,0.211
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,7,AM Peak,5,0,2,3,0.261,0.26
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,9,AM Peak,74,22,35,17,0.18,0.154
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,10,Off Peak,148,21,60,67,0.242,0.22
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,11,Off Peak,137,22,49,66,0.242,0.246
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,12,Off Peak,81,8,31,42,0.272,0.257
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,13,Off Peak,94,24,22,48,0.242,0.262
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,14,Off Peak,226,27,88,111,0.245,0.243
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,15,PM Peak,155,20,52,83,0.262,0.255
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,16,PM Peak,61,14,18,29,0.221,0.216
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,17,PM Peak,91,21,39,31,0.204,0.189
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,18,PM Peak,86,16,27,43,0.259,0.254
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,19,Off Peak,38,6,14,18,0.253,0.242
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,20,Off Peak,8,0,4,4,0.227,0.227
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,10,Off Peak,17,3,4,10,0.284,0.324
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,11,Off Peak,2,0,0,2,0.478,0.478
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,12,Off Peak,22,1,12,9,0.241,0.23
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,13,Off Peak,7,0,4,3,0.26,0.247
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,14,Off Peak,41,11,17,13,0.208,0.224
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,15,PM Peak,10,0,1,9,0.383,0.399
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,16,PM Peak,101,15,45,41,0.215,0.205
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,17,PM Peak,55,13,17,25,0.244,0.23
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,18,PM Peak,10,0,1,9,0.39,0.396
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,20,Off Peak,31,4,8,19,0.291,0.31
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,22,Off Peak,11,2,6,3,0.224,0.206
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,23,Off Peak,3,0,1,2,0.337,0.405
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,10,Off Peak,39,9,10,20,0.261,0.278
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,11,Off Peak,24,3,5,16,0.308,0.379
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,12,Off Peak,53,11,20,22,0.24,0.201
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,13,Off Peak,41,12,10,19,0.243,0.234
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,14,Off Peak,30,3,5,22,0.37,0.443
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,15,PM Peak,47,6,16,25,0.282,0.339
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,16,PM Peak,18,1,3,14,0.367,0.407
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,17,PM Peak,87,19,23,45,0.253,0.267
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,18,PM Peak,17,7,4,6,0.207,0.222
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,19,Off Peak,25,5,7,13,0.249,0.292
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,20,Off Peak,68,15,12,41,0.269,0.29
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,10,Off Peak,1,0,0,1,0.414,0.414
