vehicle_id,total_records,zero_speed_records,mean_speed,zero_speed_share
8135,83,83,0.0,1.0
8136,88,88,0.0,1.0
8137,94,94,0.0,1.0
8142,94,94,0.0,1.0
8143,83,83,0.0,1.0
8156,214,214,0.0,1.0
9404,125,125,0.0,1.0
9406,246,246,0.0,1.0
9407,236,236,0.0,1.0
9410,94,94,0.0,1.0
9412,244,244,0.0,1.0
9418,77,77,0.0,1.0
9419,94,94,0.0,1.0
9420,94,94,0.0,1.0
9421,94,94,0.0,1.0
9423,245,245,0.0,1.0
9426,202,202,0.0,1.0
9427,51,51,0.0,1.0
9428,245,245,0.0,1.0
9437,94,94,0.0,1.0
9438,94,94,0.0,1.0
9440,236,236,0.0,1.0
9445,242,242,0.0,1.0
9448,244,244,0.0,1.0
9451,94,94,0.0,1.0
9454,94,94,0.0,1.0
9455,94,94,0.0,1.0
9457,236,236,0.0,1.0
9459,135,135,0.0,1.0
9461,94,94,0.0,1.0
9478,239,239,0.0,1.0
9482,94,94,0.0,1.0
9485,94,94,0.0,1.0
9489,92,92,0.0,1.0
9496,94,94,0.0,1.0
9497,238,238,0.0,1.0
9508,25,25,0.0,1.0
9511,84,84,0.0,1.0
9512,146,146,0.0,1.0
9531,94,94,0.0,1.0
9534,94,94,0.0,1.0
9535,94,94,0.0,1.0
9537,90,90,0.0,1.0
9540,141,141,0.0,1.0
9541,94,94,0.0,1.0
9542,194,194,0.0,1.0
9545,150,150,0.0,1.0
9546,82,82,0.0,1.0
9548,94,94,0.0,1.0
9549,94,94,0.0,1.0
9552,7,7,0.0,1.0
9555,94,94,0.0,1.0
9556,143,143,0.0,1.0
9557,230,230,0.0,1.0
9559,222,222,0.0,1.0
9560,210,210,0.0,1.0
9561,221,221,0.0,1.0
9562,94,94,0.0,1.0
9564,222,222,0.0,1.0
9565,94,94,0.0,1.0
9566,244,244,0.0,1.0
9567,94,94,0.0,1.0
9570,90,90,0.0,1.0
9577,120,120,0.0,1.0
9578,92,92,0.0,1.0
9584,2,2,0.0,1.0
9590,94,94,0.0,1.0
9605,94,94,0.0,1.0
9606,248,248,0.0,1.0
9607,100,100,0.0,1.0
9610,79,79,0.0,1.0
9614,94,94,0.0,1.0
9618,94,94,0.0,1.0
9619,94,94,0.0,1.0
9620,94,94,0.0,1.0
9621,94,94,0.0,1.0
9622,244,244,0.0,1.0
9623,191,191,0.0,1.0
9624,244,244,0.0,1.0
9625,94,94,0.0,1.0
9626,87,87,0.0,1.0
9628,245,245,0.0,1.0
9630,94,94,0.0,1.0
9631,222,222,0.0,1.0
9638,244,244,0.0,1.0
9642,94,94,0.0,1.0
9643,88,88,0.0,1.0
9644,244,244,0.0,1.0
9648,94,94,0.0,1.0
9652,240,240,0.0,1.0
9663,145,145,0.0,1.0
9664,94,94,0.0,1.0
9667,94,94,0.0,1.0
9670,94,94,0.0,1.0
9671,244,244,0.0,1.0
9672,94,94,0.0,1.0
9673,216,216,0.0,1.0
9676,76,76,0.0,1.0
9677,240,240,0.0,1.0
