vehicle_id,report_count,median_interval_sec,mean_interval_sec,max_interval_sec
2555,3,31.0,30.0,31.0
8131,3,31.0,30.7,32.0
24518,3,31.0,30.0,33.0
21409,3,31.0,33.0,40.0
2177,3,31.0,30.0,39.0
2179,3,31.0,30.3,32.0
24528,3,31.0,29.3,31.0
9662,3,32.0,27.7,34.0
9675,3,32.0,32.3,35.0
9697,3,32.0,38.0,51.0
8125,3,32.0,34.0,51.0
9781,3,32.0,32.7,36.0
9548,3,32.0,33.0,40.0
9526,3,32.0,37.7,52.0
24101,3,32.0,36.7,46.0
25166,3,32.0,33.3,38.0
2246,3,32.0,36.0,45.0
18126,3,32.0,37.3,50.0
2163,3,32.0,30.7,48.0
2541,3,32.0,28.0,45.0
2509,3,32.0,31.3,32.0
25179,3,32.0,35.7,47.0
21013,3,32.0,37.7,50.0
18355,3,32.0,33.7,37.0
18179,3,32.0,33.0,38.0
16126,3,32.0,39.7,56.0
18171,3,33.0,27.3,47.0
16004,3,33.0,33.7,38.0
19424,3,33.0,32.7,33.0
2204,3,33.0,35.3,41.0
23015,3,33.0,27.7,48.0
21533,3,33.0,35.7,43.0
18322,3,33.0,29.7,51.0
23213,3,33.0,31.7,33.0
2514,3,33.0,34.3,45.0
2147,3,34.0,32.3,35.0
9579,3,34.0,34.7,38.0
24111,3,34.0,26.7,44.0
25170,3,35.0,32.7,37.0
18192,3,35.0,33.0,42.0
18357,3,35.0,34.0,36.0
25516,3,36.0,35.0,40.0
9722,3,36.0,31.0,44.0
9436,3,36.0,35.0,40.0
9463,3,37.0,32.7,38.0
9628,3,37.0,30.7,37.0
14038,3,37.0,30.3,39.0
16025,3,37.0,28.7,47.0
24509,3,37.0,34.3,54.0
9720,3,38.0,32.7,48.0
2574,3,38.0,34.7,45.0
2151,3,39.0,37.3,43.0
22001,2,44.5,44.5,58.0
18005,2,45.0,45.0,60.0
2248,2,45.0,45.0,59.0
19408,2,50.5,50.5,55.0
24107,2,54.0,54.0,56.0
21016,3,54.0,105.3,231.0
9690,2,59.0,59.0,89.0
25164,2,59.0,59.0,59.0
18311,1,59.0,59.0,59.0
21511,2,75.0,75.0,91.0
18397,1,87.0,87.0,87.0
2551,1,87.0,87.0,87.0
18187,2,96.0,96.0,163.0
18051,1,152.0,152.0,152.0
18159,2,166.5,166.5,303.0
16117,2,302.5,302.5,571.0
