filename,status,size_bytes,row_count,is_empty,is_corrupted,missing_columns,duplicate_count,earliest_timestamp,latest_timestamp,unique_routes
vehicle_positions_00_000016.parquet,FAIL,51625,1314,False,True,,0,,,0
vehicle_positions_00_000047.parquet,FAIL,51797,1312,False,True,,0,,,0
vehicle_positions_00_000118.parquet,FAIL,51991,1316,False,True,,0,,,0
vehicle_positions_00_000149.parquet,FAIL,51878,1316,False,True,,0,,,0
vehicle_positions_00_000220.parquet,FAIL,51842,1319,False,True,,0,,,0
vehicle_positions_00_000251.parquet,FAIL,52047,1323,False,True,,0,,,0
vehicle_positions_00_000321.parquet,FAIL,52207,1325,False,True,,0,,,0
vehicle_positions_00_000352.parquet,FAIL,52127,1322,False,True,,0,,,0
vehicle_positions_00_000423.parquet,FAIL,52133,1321,False,True,,0,,,0
vehicle_positions_00_000454.parquet,FAIL,52073,1322,False,True,,0,,,0
vehicle_positions_00_000524.parquet,FAIL,52176,1321,False,True,,0,,,0
vehicle_positions_00_000555.parquet,FAIL,51905,1319,False,True,,0,,,0
vehicle_positions_00_000626.parquet,FAIL,51881,1318,False,True,,0,,,0
vehicle_positions_00_000657.parquet,FAIL,51784,1313,False,True,,0,,,0
vehicle_positions_00_000727.parquet,FAIL,51577,1311,False,True,,0,,,0
vehicle_positions_00_000758.parquet,FAIL,51908,1315,False,True,,0,,,0
vehicle_positions_00_000829.parquet,FAIL,51873,1315,False,True,,0,,,0
vehicle_positions_00_000900.parquet,FAIL,51783,1314,False,True,,0,,,0
vehicle_positions_00_000930.parquet,FAIL,51594,1311,False,True,,0,,,0
vehicle_positions_00_001002.parquet,FAIL,51783,1314,False,True,,0,,,0
vehicle_positions_00_001033.parquet,FAIL,51846,1318,False,True,,0,,,0
vehicle_positions_00_001103.parquet,FAIL,51918,1319,False,True,,0,,,0
vehicle_positions_00_001134.parquet,FAIL,52035,1320,False,True,,0,,,0
vehicle_positions_00_001205.parquet,FAIL,52034,1319,False,True,,0,,,0
vehicle_positions_00_001236.parquet,FAIL,51862,1316,False,True,,0,,,0
vehicle_positions_00_001306.parquet,FAIL,51872,1316,False,True,,0,,,0
vehicle_positions_00_001337.parquet,FAIL,52080,1314,False,True,,0,,,0
vehicle_positions_00_001408.parquet,FAIL,51970,1315,False,True,,0,,,0
vehicle_positions_00_001439.parquet,FAIL,51765,1315,False,True,,0,,,0
vehicle_positions_00_001509.parquet,FAIL,51845,1316,False,True,,0,,,0
vehicle_positions_00_001540.parquet,FAIL,51614,1312,False,True,,0,,,0
vehicle_positions_00_001611.parquet,FAIL,51507,1310,False,True,,0,,,0
vehicle_positions_00_001642.parquet,FAIL,51442,1309,False,True,,0,,,0
vehicle_positions_00_001713.parquet,FAIL,51560,1310,False,True,,0,,,0
vehicle_positions_00_001743.parquet,FAIL,51626,1309,False,True,,0,,,0
vehicle_positions_00_001814.parquet,FAIL,51566,1310,False,True,,0,,,0
vehicle_positions_00_001845.parquet,FAIL,51788,1313,False,True,,0,,,0
vehicle_positions_00_001916.parquet,FAIL,51707,1315,False,True,,0,,,0
vehicle_positions_00_001947.parquet,FAIL,51911,1316,False,True,,0,,,0
vehicle_positions_00_002017.parquet,FAIL,51881,1319,False,True,,0,,,0
vehicle_positions_00_002048.parquet,FAIL,51935,1319,False,True,,0,,,0
vehicle_positions_00_002119.parquet,FAIL,51897,1319,False,True,,0,,,0
vehicle_positions_00_002150.parquet,FAIL,51899,1316,False,True,,0,,,0
vehicle_positions_00_002221.parquet,FAIL,52057,1320,False,True,,0,,,0
vehicle_positions_00_002251.parquet,FAIL,52066,1322,False,True,,0,,,0
vehicle_positions_00_002322.parquet,FAIL,52146,1324,False,True,,0,,,0
vehicle_positions_00_002353.parquet,FAIL,51773,1317,False,True,,0,,,0
vehicle_positions_00_002424.parquet,FAIL,51564,1318,False,True,,0,,,0
vehicle_positions_00_002455.parquet,FAIL,51851,1318,False,True,,0,,,0
