filename,status,size_bytes,row_count,is_empty,is_corrupted,missing_columns,duplicate_count,earliest_timestamp,latest_timestamp,unique_routes
vehicle_positions_18_181533.parquet,OK,35650,828,False,False,,0,2026-05-14T18:15:33.113802+00:00,2026-05-14T18:15:33.113802+00:00,182
vehicle_positions_18_181604.parquet,OK,35681,826,False,False,,0,2026-05-14T18:16:03.933726+00:00,2026-05-14T18:16:03.933726+00:00,182
vehicle_positions_18_181635.parquet,OK,35539,826,False,False,,0,2026-05-14T18:16:35.096666+00:00,2026-05-14T18:16:35.096666+00:00,182
vehicle_positions_18_181706.parquet,OK,35511,824,False,False,,0,2026-05-14T18:17:05.918345+00:00,2026-05-14T18:17:05.918345+00:00,182
vehicle_positions_18_181737.parquet,OK,35405,820,False,False,,0,2026-05-14T18:17:36.748761+00:00,2026-05-14T18:17:36.748761+00:00,183
vehicle_positions_18_181808.parquet,OK,35317,819,False,False,,0,2026-05-14T18:18:07.965292+00:00,2026-05-14T18:18:07.965292+00:00,183
vehicle_positions_18_181839.parquet,OK,35307,817,False,False,,0,2026-05-14T18:18:38.888572+00:00,2026-05-14T18:18:38.888572+00:00,182
vehicle_positions_18_181910.parquet,OK,35297,817,False,False,,0,2026-05-14T18:19:09.756542+00:00,2026-05-14T18:19:09.756542+00:00,182
vehicle_positions_18_181941.parquet,OK,35140,812,False,False,,0,2026-05-14T18:19:40.577311+00:00,2026-05-14T18:19:40.577311+00:00,182
vehicle_positions_18_182011.parquet,OK,35002,812,False,False,,0,2026-05-14T18:20:11.455144+00:00,2026-05-14T18:20:11.455144+00:00,181
vehicle_positions_18_182042.parquet,OK,35185,816,False,False,,0,2026-05-14T18:20:42.347710+00:00,2026-05-14T18:20:42.347710+00:00,181
vehicle_positions_18_182113.parquet,OK,35190,812,False,False,,0,2026-05-14T18:21:13.186546+00:00,2026-05-14T18:21:13.186546+00:00,181
vehicle_positions_18_182144.parquet,OK,35057,815,False,False,,0,2026-05-14T18:21:44.045554+00:00,2026-05-14T18:21:44.045554+00:00,182
vehicle_positions_18_182215.parquet,OK,35034,816,False,False,,0,2026-05-14T18:22:14.944718+00:00,2026-05-14T18:22:14.944718+00:00,182
vehicle_positions_18_182246.parquet,OK,35173,816,False,False,,0,2026-05-14T18:22:45.735601+00:00,2026-05-14T18:22:45.735601+00:00,182
