date,total_records,unique_vehicles,unique_routes,unique_trips,active_hours,first_seen,last_seen,records_per_vehicle,day_of_week
2026-05-19,1678374,1527,225,20956,24,2026-05-19 00:00:22,2026-05-19 23:59:41,1099.13,Tuesday
2026-05-20,1930580,1559,222,22250,24,2026-05-20 00:00:12,2026-05-20 23:59:52,1238.35,Wednesday
2026-05-21,2025325,1537,222,22746,24,2026-05-21 00:00:23,2026-05-21 23:59:45,1317.71,Thursday
2026-05-22,2029152,1555,222,22710,24,2026-05-22 00:00:16,2026-05-22 23:59:41,1304.92,Friday
2026-05-23,1644085,1475,218,19677,24,2026-05-23 00:00:12,2026-05-23 23:59:59,1114.63,Saturday
