route_id,days_active,mean_daily_records,std_daily_records,min_daily_records,max_daily_records,total_records,cv_daily_records,is_persistent
11696,5,7169.6,842.0,5726,7796,35848,0.1174,True
39305,5,7129.2,3177.0,2013,10380,35646,0.4456,True
6644,5,7067.2,1283.5,5077,8029,35336,0.1816,True
6747,5,7065.8,718.5,6268,8165,35329,0.1017,True
6685,5,7052.6,1117.3,5931,8548,35263,0.1584,True
6658,5,7019.6,789.9,5967,7679,35098,0.1125,True
6679,5,6947.8,429.8,6271,7345,34739,0.0619,True
6635,5,6944.2,3031.2,1927,8978,34721,0.4365,True
6680,5,6938.8,667.6,6065,7632,34694,0.0962,True
6661,5,6920.8,928.1,5563,7696,34604,0.1341,True
6662,5,6919.8,1077.8,5222,7792,34599,0.1558,True
20667,5,6917.6,1420.2,4654,7921,34588,0.2053,True
8290,5,6887.8,705.4,5797,7472,34439,0.1024,True
17707,5,6859.2,496.2,5990,7218,34296,0.0723,True
6664,5,6803.4,706.3,5625,7379,34017,0.1038,True
12940,5,6780.2,551.0,6021,7355,33901,0.0813,True
6647,5,6773.4,442.9,6222,7216,33867,0.0654,True
6676,5,6695.6,749.8,5793,7651,33478,0.112,True
6723,5,6665.8,980.2,5230,7410,33329,0.147,True
6629,5,6483.8,760.8,5157,7022,32419,0.1173,True
6654,5,6261.4,442.8,5720,6754,31307,0.0707,True
6817,5,6237.2,508.1,5597,6854,31186,0.0815,True
30040,5,6216.4,839.2,5275,6932,31082,0.135,True
33292,5,6187.2,809.6,5027,6867,30936,0.1308,True
30039,5,6180.2,708.6,5375,6848,30901,0.1147,True
6677,5,6119.2,417.7,5409,6512,30596,0.0683,True
6663,5,6011.8,412.2,5514,6471,30059,0.0686,True
6652,5,5977.2,372.1,5560,6462,29886,0.0623,True
6702,5,5924.0,388.0,5342,6289,29620,0.0655,True
39307,5,5858.2,1569.0,3291,7082,29291,0.2678,True
6665,5,5836.0,342.7,5285,6146,29180,0.0587,True
31819,5,5400.2,316.8,5051,5731,27001,0.0587,True
6725,5,5350.4,378.8,4764,5661,26752,0.0708,True
40855,5,5314.4,468.0,4641,5733,26572,0.0881,True
30038,5,5301.0,795.1,4024,5911,26505,0.15,True
33538,5,5171.0,361.6,4682,5530,25855,0.0699,True
6678,5,5057.0,440.6,4389,5462,25285,0.0871,True
6709,5,4946.8,1010.0,3243,5745,24734,0.2042,True
6668,5,4843.0,277.4,4357,5054,24215,0.0573,True
6659,5,4831.4,251.3,4514,5107,24157,0.052,True
6818,5,4517.6,643.3,3598,5047,22588,0.1424,True
30045,5,4502.4,390.3,3863,4925,22512,0.0867,True
30049,5,4499.4,677.0,3424,5053,22497,0.1505,True
30050,5,4337.8,683.5,3544,4972,21689,0.1576,True
6806,5,4221.8,681.6,3142,4742,21109,0.1614,True
6796,5,4102.4,147.5,3922,4274,20512,0.036,True
36799,5,4046.2,620.3,3302,4705,20231,0.1533,True
30037,5,3902.8,525.4,3338,4471,19514,0.1346,True
6631,5,3821.2,473.2,3254,4285,19106,0.1238,True
6701,5,3715.4,561.4,3016,4228,18577,0.1511,True
39304,5,3704.0,310.7,3233,3988,18520,0.0839,True
6674,5,3674.6,148.9,3494,3901,18373,0.0405,True
6799,5,3652.2,688.4,2647,4200,18261,0.1885,True
46099,5,3602.4,361.2,3141,4043,18012,0.1003,True
16719,5,3587.0,223.4,3321,3871,17935,0.0623,True
30047,5,3569.6,523.0,3013,4157,17848,0.1465,True
6800,5,3545.0,683.9,2561,4135,17725,0.1929,True
30584,5,3506.0,169.9,3216,3620,17530,0.0485,True
6780,5,3496.8,345.5,3126,3875,17484,0.0988,True
22639,5,3479.8,504.0,2979,4298,17399,0.1448,True
6841,5,3262.8,279.0,3079,3756,16314,0.0855,True
6690,5,3200.6,617.5,2247,3700,16003,0.1929,True
30036,5,2991.2,438.8,2329,3378,14956,0.1467,True
6675,5,2985.4,302.6,2573,3369,14927,0.1014,True
9745,5,2965.4,1205.6,1053,3855,14827,0.4066,True
34043,5,2916.4,740.5,1756,3526,14582,0.2539,True
6828,5,2912.4,280.9,2445,3124,14562,0.0965,True
30048,5,2856.4,445.0,2328,3248,14282,0.1558,True
48855,5,2835.6,361.9,2223,3143,14178,0.1276,True
6720,5,2796.0,1036.3,1182,3515,13980,0.3706,True
31817,5,2790.2,692.2,1734,3385,13951,0.2481,True
31816,5,2760.0,603.3,1823,3218,13800,0.2186,True
6688,5,2738.6,305.7,2244,2995,13693,0.1116,True
6691,5,2668.4,457.0,1961,3154,13342,0.1713,True
34042,5,2598.6,609.3,1692,3149,12993,0.2345,True
6790,5,2596.0,114.3,2440,2757,12980,0.044,True
6827,5,2581.6,424.2,2015,2958,12908,0.1643,True
16717,5,2518.2,81.1,2459,2660,12591,0.0322,True
31822,5,2489.2,391.8,1811,2785,12446,0.1574,True
6716,5,2455.0,969.6,889,3111,12275,0.395,True
34541,5,2401.0,338.1,1808,2617,12005,0.1408,True
6683,5,2380.0,915.8,1014,3315,11900,0.3848,True
6656,5,2366.8,1068.3,603,3127,11834,0.4514,True
31821,5,2307.4,303.3,1781,2558,11537,0.1314,True
30044,5,2298.4,135.6,2098,2470,11492,0.059,True
6834,5,2292.2,723.4,1887,3567,11461,0.3156,True
6689,5,2280.8,390.8,1644,2640,11404,0.1713,True
6739,5,2249.6,899.1,771,2903,11248,0.3997,True
45596,5,2246.0,1071.2,416,2975,11230,0.4769,True
6717,5,2227.6,809.6,1116,2825,11138,0.3634,True
6699,5,2195.4,803.4,876,2767,10977,0.366,True
30041,5,2123.4,954.5,468,2788,10617,0.4495,True
30051,5,2107.6,136.5,1942,2225,10538,0.0648,True
6721,5,2028.8,705.5,1173,2601,10144,0.3477,True
6811,5,1930.4,108.7,1801,2093,9652,0.0563,True
13684,5,1912.2,507.5,1133,2299,9561,0.2654,True
34540,5,1895.6,241.5,1600,2115,9478,0.1274,True
10232,5,1741.4,138.9,1594,1912,8707,0.0797,True
6838,5,1705.0,70.9,1582,1754,8525,0.0416,True
6829,5,1618.2,640.2,594,2076,8091,0.3956,True
6779,5,1581.0,184.5,1289,1776,7905,0.1167,True
6835,5,1543.8,500.4,649,1779,7719,0.3241,True
6830,5,1539.8,52.4,1479,1601,7699,0.034,True
31818,5,1509.8,267.1,1271,1960,7549,0.1769,True
6776,5,1498.4,168.5,1252,1651,7492,0.1125,True
6742,5,1462.2,688.1,254,1860,7311,0.4706,True
6710,5,1416.0,177.3,1173,1598,7080,0.1252,True
6825,5,1248.8,163.9,1002,1412,6244,0.1312,True
6743,5,1232.6,432.8,647,1556,6163,0.3511,True
6837,5,1224.6,193.6,1067,1524,6123,0.1581,True
6840,5,1195.0,334.8,598,1383,5975,0.2802,True
6823,5,1177.6,81.1,1082,1271,5888,0.0689,True
6744,5,1141.8,408.4,585,1486,5709,0.3577,True
6719,5,950.2,317.0,612,1287,4751,0.3336,True
6805,5,946.8,168.3,671,1108,4734,0.1778,True
6804,5,942.8,143.2,703,1080,4714,0.1519,True
6844,5,938.8,112.7,763,1043,4694,0.12,True
7322,5,926.2,123.1,734,1033,4631,0.1329,True
6843,5,903.0,109.9,749,1039,4515,0.1217,True
6686,5,751.4,280.7,311,944,3757,0.3736,True
6718,5,705.8,279.4,257,892,3529,0.3959,True
6833,5,509.4,53.5,439,577,2547,0.105,True
6836,5,441.6,7.1,431,448,2208,0.0161,True
6831,5,393.8,24.8,352,416,1969,0.063,True
6745,5,381.0,144.1,155,497,1905,0.3783,True
18213,5,368.0,156.7,107,474,1840,0.4258,True
6746,4,372.5,8.6,365,384,1490,0.023,True
6754,4,238.2,7.9,230,246,953,0.0333,True
6762,4,148.5,12.6,136,164,594,0.0846,True
29039,4,89.2,7.8,83,100,357,0.0875,True
8289,4,86.0,7.8,76,94,344,0.0911,True
29040,4,65.8,11.3,52,75,263,0.1718,True
6761,4,47.2,4.0,43,52,189,0.0853,True
30042,2,1281.0,1067.7,526,2036,2562,0.8335,False
7509,2,1195.5,628.6,751,1640,2391,0.5258,False
11202,2,883.0,410.1,593,1173,1766,0.4645,False
